date,equity,positions,returns,cummax,drawdown
2025-01-02,20000.0,0,,20000.0,0.0
2025-01-03,20000.0,0,0.0,20000.0,0.0
2025-01-06,20000.0,0,0.0,20000.0,0.0
2025-01-07,20000.0,0,0.0,20000.0,0.0
2025-01-08,20000.0,0,0.0,20000.0,0.0
2025-01-10,20000.0,0,0.0,20000.0,0.0
2025-01-13,20000.0,0,0.0,20000.0,0.0
2025-01-14,20000.0,0,0.0,20000.0,0.0
2025-01-15,20000.0,0,0.0,20000.0,0.0
2025-01-16,20000.0,0,0.0,20000.0,0.0
2025-01-17,20000.0,0,0.0,20000.0,0.0
2025-01-21,20000.0,0,0.0,20000.0,0.0
2025-01-22,20000.0,0,0.0,20000.0,0.0
2025-01-23,20000.0,0,0.0,20000.0,0.0
2025-01-24,20000.0,0,0.0,20000.0,0.0
2025-01-27,20000.0,0,0.0,20000.0,0.0
2025-01-28,20000.0,0,0.0,20000.0,0.0
2025-01-29,20000.0,0,0.0,20000.0,0.0
2025-01-30,20000.0,0,0.0,20000.0,0.0
2025-01-31,20000.0,0,0.0,20000.0,0.0
2025-02-03,20000.0,0,0.0,20000.0,0.0
2025-02-04,20000.0,0,0.0,20000.0,0.0
2025-02-05,20000.0,0,0.0,20000.0,0.0
2025-02-06,20000.0,0,0.0,20000.0,0.0
2025-02-07,20000.0,0,0.0,20000.0,0.0
2025-02-10,20000.0,0,0.0,20000.0,0.0
2025-02-11,20000.0,0,0.0,20000.0,0.0
2025-02-12,20000.0,0,0.0,20000.0,0.0
2025-02-13,20000.0,0,0.0,20000.0,0.0
2025-02-14,20000.0,0,0.0,20000.0,0.0
2025-02-18,20000.0,0,0.0,20000.0,0.0
2025-02-19,20000.0,0,0.0,20000.0,0.0
2025-02-20,20000.0,0,0.0,20000.0,0.0
2025-02-21,20000.0,0,0.0,20000.0,0.0
2025-02-24,20000.0,0,0.0,20000.0,0.0
2025-02-25,20000.0,0,0.0,20000.0,0.0
2025-02-26,20000.0,0,0.0,20000.0,0.0
2025-02-27,20000.0,0,0.0,20000.0,0.0
2025-02-28,20000.0,0,0.0,20000.0,0.0
2025-03-03,20000.0,0,0.0,20000.0,0.0
2025-03-04,20000.0,0,0.0,20000.0,0.0
2025-03-05,20000.0,0,0.0,20000.0,0.0
2025-03-06,20000.0,0,0.0,20000.0,0.0
2025-03-07,20000.0,0,0.0,20000.0,0.0
2025-03-10,20000.0,0,0.0,20000.0,0.0
2025-03-11,20000.0,0,0.0,20000.0,0.0
2025-03-12,20000.0,0,0.0,20000.0,0.0
2025-03-13,20000.0,0,0.0,20000.0,0.0
2025-03-14,20000.0,0,0.0,20000.0,0.0
2025-03-17,20000.0,0,0.0,20000.0,0.0
2025-03-18,20000.0,0,0.0,20000.0,0.0
2025-03-19,20000.0,0,0.0,20000.0,0.0
2025-03-20,20000.0,0,0.0,20000.0,0.0
2025-03-21,20000.0,0,0.0,20000.0,0.0
2025-03-24,20000.0,0,0.0,20000.0,0.0
2025-03-25,20000.0,0,0.0,20000.0,0.0
2025-03-26,19186.877054850258,1,-0.04065614725748712,20000.0,-4.06561472574871
2025-03-27,18624.01690928141,1,-0.029335683131745616,20000.0,-6.8799154535929485
2025-03-28,18078.64686075846,1,-0.029283159008041904,20000.0,-9.606765696207695
2025-03-31,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-01,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-02,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-03,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-04,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-07,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-08,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-09,18078.64686075846,0,0.0,20000.0,-9.606765696207695
2025-04-10,16650.553538852266,1,-0.07899337449895194,20000.0,-16.74723230573867
2025-04-11,16645.15375857883,1,-0.00032430034598174284,20000.0,-16.774231207105856
2025-04-14,16645.15375857883,0,0.0,20000.0,-16.774231207105856
2025-04-15,16645.15375857883,0,0.0,20000.0,-16.774231207105856
2025-04-16,16645.15375857883,0,0.0,20000.0,-16.774231207105856
2025-04-17,16767.015946352923,1,0.007321181260418808,20000.0,-16.164920268235385
2025-04-21,16278.296647036517,1,-0.029147661150922377,20000.0,-18.608516764817416
2025-04-22,16801.45579620644,1,0.03213844547212896,20000.0,-15.992721018967803
2025-04-23,17921.576096499408,1,0.0666680503094188,20000.0,-10.39211951750296
2025-04-24,19063.015946352923,1,0.06369081846972557,20000.0,-4.684920268235382
2025-04-25,20072.659430047024,2,0.05296347055132489,20072.659430047024,0.0
2025-04-28,20173.950109978665,2,0.005046201291096342,20173.950109978665,0.0
2025-04-29,20448.890188714016,2,0.013628470241896729,20448.890188714016,0.0
2025-04-30,19606.584322729665,3,-0.0411907863072799,20448.890188714016,-4.119078630727991
2025-05-01,19264.53329733904,3,-0.017445722302282363,20448.890188714016,-5.791790559023283
2025-05-02,20438.893084326344,3,0.060959680095105995,20448.890188714016,-0.0488882491686012
2025-05-05,19782.713900366383,3,-0.032104438398533164,20448.890188714016,-3.2577625592380732
2025-05-06,18191.7142970949,3,-0.08042372807312437,20448.890188714016,-11.038133956359546
2025-05-07,18353.414187231618,3,0.008888655983484872,20448.890188714016,-10.247382533448766
2025-05-08,19970.134463110524,3,0.08808825755175564,20448.890188714016,-2.3412308501109926
2025-05-09,20397.71206567843,3,0.02141085245859209,20448.890188714016,-0.25027335255501554
2025-05-12,22039.586302738975,3,0.08049305881825819,22039.586302738975,0.0
2025-05-13,24198.4450826462,3,0.09795368888747857,24198.4450826462,0.0
2025-05-14,25333.674257106497,2,0.046913310776088624,25333.674257106497,0.0
2025-05-15,25034.28048879595,2,-0.011818016023734224,25333.674257106497,-1.1818016023734188
2025-05-16,25460.49502737017,2,0.017025236206208216,25460.49502737017,0.0
2025-05-19,25056.262849635794,2,-0.015876838894916312,25460.49502737017,-1.587683889491635
2025-05-20,25050.3844927022,2,-0.0002346062926011916,25460.49502737017,-1.6107720381206165
2025-05-21,24351.25122243853,2,-0.027909083410170732,25460.49502737017,-4.356725207971006
2025-05-22,24775.96182424517,2,0.01744101762685979,25460.49502737017,-2.6886091664326366
2025-05-23,24410.511825415,2,-0.01475018412696083,25460.49502737017,-4.123970098878404
2025-05-27,26214.75521513294,3,0.07391255876246938,26214.75521513294,0.0
2025-05-28,25672.477611983526,2,-0.02068596859666172,26214.75521513294,-2.068596859666172
2025-05-29,25986.532940352667,2,0.012233152293121163,26214.75521513294,-0.870587090771414
2025-05-30,25419.09310575794,2,-0.0218359192392914,26214.75521513294,-3.0351689452957005
2025-06-02,25690.608837569464,2,0.01068156643834084,26214.75521513294,-1.999432660202387
2025-06-03,26610.730389083135,2,0.03581548251079614,26610.730389083135,0.0
2025-06-04,26583.440807784307,2,-0.0010255104200380671,26610.730389083135,-0.10255104200380567
2025-06-05,25905.400616133917,2,-0.02550611098665012,26610.730389083135,-2.6505464624096726
2025-06-06,26446.37737027428,3,0.02088277892924939,26610.730389083135,-0.6176193453009465
2025-06-09,26511.791371739124,2,0.0024734579163332437,26610.730389083135,-0.371801209126528
2025-06-10,26866.838857090686,2,0.013392059418890545,26866.838857090686,0.0
2025-06-11,26544.37230435631,2,-0.0120024002246647,26866.838857090686,-1.200240022466468
2025-06-12,26850.71544400475,2,0.01154079426463439,26866.838857090686,-0.06001231917048632
2025-06-13,26203.27824918053,2,-0.024112474625653912,26866.838857090686,-2.469812736212655
2025-06-16,26981.28734341881,2,0.02969128850366709,26981.28734341881,0.0
2025-06-17,26804.083119786,2,-0.006567671192903135,26981.28734341881,-0.6567671192903091
2025-06-18,26977.631215489124,2,0.006474688760199188,26981.28734341881,-0.013550605955720978
2025-06-20,26481.59709683678,2,-0.01838686705627246,26981.28734341881,-1.8519881583927242
2025-06-23,26564.6838044244,3,0.003137526308696348,26981.28734341881,-1.5440461890934511
2025-06-24,28222.446240337486,3,0.06240474940782015,28222.446240337486,0.0
2025-06-25,29635.387783916587,3,0.050064460449201764,29635.387783916587,0.0
2025-06-26,29925.511807354087,3,0.009789783266981766,29925.511807354087,0.0
2025-06-27,28894.266430767173,3,-0.03446040900571967,29925.511807354087,-3.4460409005719637
2025-06-30,29410.71471873104,3,0.017873729004379335,29925.511807354087,-1.7202616013288614
2025-07-01,27562.54932871639,3,-0.06283986661628427,29925.511807354087,-7.896147253384672
2025-07-02,28566.70090952694,3,0.036431738183389184,29925.511807354087,-4.540643804438544
2025-07-03,29120.690350444907,3,0.019392839329697154,29925.511807354087,-2.689415847221693
2025-07-07,29231.011486919517,3,0.0037884107535564038,29925.511807354087,-2.32076338378246
2025-07-08,29037.447816320455,3,-0.006621860166750593,29925.511807354087,-2.9675816298499984
2025-07-09,30455.95065445522,3,0.0488508097236251,30455.95065445522,0.0
2025-07-10,30735.93945450405,3,0.009193237906953033,30735.93945450405,0.0
2025-07-11,30756.060731359517,3,0.0006546498077681928,30756.060731359517,0.0
2025-07-14,31022.12028641323,3,0.008650638239325437,31022.12028641323,0.0
2025-07-15,32084.843491979635,3,0.03425694942043811,32084.843491979635,0.0
2025-07-16,32832.728913732564,3,0.023309617263362448,32832.728913732564,0.0
2025-07-17,33777.23382706264,3,0.028767176673366146,33777.23382706264,0.0
2025-07-18,34437.43988175014,3,0.019545888750621687,34437.43988175014,0.0
2025-07-21,33996.88005203823,3,-0.012793048241236615,34437.43988175014,-1.279304824123658
2025-07-22,32428.553386101594,3,-0.04613148805231637,34437.43988175014,-5.833437394145964
2025-07-23,34140.533824334016,3,0.05279237768793443,34437.43988175014,-0.8621606554831907
2025-07-24,34980.29420031058,3,0.024597165946421473,34980.29420031058,0.0
2025-07-25,35792.70676744925,3,0.023224863761479142,35792.70676744925,0.0
2025-07-28,36829.33405626761,3,0.02896196969828213,36829.33405626761,0.0
2025-07-29,36690.32409227835,3,-0.0037744359910738545,36829.33405626761,-0.37744359910738357
2025-07-30,37842.47869432913,3,0.03140213749960452,37842.47869432913,0.0
2025-07-31,37302.49180162894,3,-0.014269332013421065,37842.47869432913,-1.4269332013421065
2025-08-01,35656.79404772269,3,-0.04411763596539109,37842.47869432913,-5.7757438783574715
2025-08-04,38025.43036974417,3,0.06642875180677565,38025.43036974417,0.0
2025-08-05,39022.24221602457,3,0.02621434751922047,39022.24221602457,0.0
2025-08-06,39221.089445028476,3,0.005095740729174514,39221.089445028476,0.0
2025-08-07,40579.166303548984,3,0.034626189066572444,40579.166303548984,0.0
