symbol,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,strategy,ml_confidence,exit_reason
META,2024-03-14,2024-03-27,489.3351745605469,491.3548889160156,-234.83444213867188,0.0041274661223415585,PULLBACK,0.5,RSI_SELL
NVDA,2024-03-14,2024-03-28,87.904052734375,90.31495666503906,1594.8004455566406,0.02742653900098596,TREND_FOLLOW,0.5,TIME_EXIT
COIN,2024-03-15,2024-04-01,242.36000061035156,252.11000061035156,1105.310073852539,0.04022941069254793,TREND_FOLLOW,0.5,TIME_EXIT
NVDA,2024-04-05,2024-04-09,87.968017578125,85.3152084350586,-946.9898819274895,-0.030156518426829707,PULLBACK,0.5,RSI_SELL
COIN,2024-04-01,2024-04-15,252.11000061035156,223.41000366210938,-7190.534756469722,-0.11383918479536814,PULLBACK,0.5,STOP_LOSS
META,2024-04-02,2024-04-16,494.84716796875,497.22503662109375,-274.0628030395528,0.004805258686443396,PULLBACK,0.5,TIME_EXIT
TSLA,2024-05-03,2024-05-17,181.19000244140625,177.4600067138672,-1242.1510934875478,-0.020586101204702393,TREND_FOLLOW,0.5,RSI_SELL
NVDA,2024-05-08,2024-05-22,90.37092590332031,94.9068603515625,1971.7487465826416,0.0501924087078047,TREND_FOLLOW,0.5,TIME_EXIT
TSLA,2024-05-22,2024-05-23,180.11000061035156,173.74000549316406,-1241.3261839739207,-0.03536724832380792,PULLBACK,0.5,RSI_SELL
AMD,2024-05-20,2024-06-03,166.3300018310547,163.5500030517578,-822.506954680357,-0.016713754275795568,TREND_FOLLOW,0.5,TIME_EXIT
NVDA,2024-05-22,2024-06-05,94.9068603515625,122.3843765258789,12577.688755734802,0.2895208636396961,TREND_FOLLOW,0.5,TAKE_PROFIT
AMD,2024-06-05,2024-06-10,166.1699981689453,160.33999633789062,-1304.374120065193,-0.03508456337062311,TREND_FOLLOW,0.5,RSI_SELL
TSLA,2024-06-03,2024-06-11,176.2899932861328,170.66000366210938,-1386.873673745511,-0.03193595688035175,PULLBACK,0.5,RSI_SELL
NVDA,2024-06-05,2024-06-20,122.3843765258789,130.73133850097656,3437.8066856909063,0.06820283938230172,TREND_FOLLOW,0.5,TIME_EXIT
NVDA,2024-06-20,2024-06-24,130.73133850097656,118.0660400390625,-4830.179753598248,-0.09688035483412,TREND_FOLLOW,0.5,STOP_LOSS
PLTR,2024-06-11,2024-06-25,23.850000381469727,24.559999465942383,1381.8339258840715,0.02976935317050521,TREND_FOLLOW,0.5,TIME_EXIT
TSLA,2024-06-20,2024-07-02,181.57000732421875,231.25999450683594,9383.966472896267,0.27366847594982324,PULLBACK,0.5,TAKE_PROFIT
NVDA,2024-06-24,2024-07-08,118.0660400390625,128.1522674560547,2981.5867360985576,0.08542869239668857,PULLBACK,0.5,TIME_EXIT
