symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality
MARA,2020-02-18,2020-02-20,1.1100000143051147,1.0399999618530273,90.0900889290549,-630.6310950447062,-6.306310950447061,Stop Loss,2,trend,2
MARA,2020-07-24,2020-07-27,1.0399999618530273,1.4199999570846558,93.12196930490161,3538.634789182246,36.53846242018709,Take Profit,3,trend,2
MARA,2020-07-27,2020-07-28,1.4199999570846558,1.7100000381469727,80.66198727628495,2339.198284877021,20.422541537093018,Take Profit,1,breakout,3
ZS,2020-07-06,2020-07-30,114.77999877929688,129.2899932861328,0.8437606338626739,1224.2962162431807,12.641570535940044,Take Profit,24,trend,2
MARA,2020-07-31,2020-08-03,2.0299999713897705,3.8299999237060547,65.20073538999837,11736.132059298374,88.66994963965321,Take Profit,3,breakout,3
MARA,2020-08-03,2020-08-04,3.8299999237060547,3.309999942779541,49.87941385855818,-2593.7294255075935,-13.57702327114779,Stop Loss,1,breakout,3
MARA,2020-08-05,2020-08-06,4.199999809265137,5.090000152587891,42.39750291236298,3773.379214803051,21.190485327152313,Take Profit,1,breakout,3
RIOT,2020-08-05,2020-08-07,4.010000228881836,3.7699999809265137,44.4063576013551,-1065.7536835117933,-5.985043248295396,Stop Loss,2,breakout,3
MARA,2020-08-06,2020-08-07,5.090000152587891,4.380000114440918,38.69084367691623,-2747.0500486549076,-13.948919781190769,Stop Loss,1,breakout,3
CRWD,2020-09-01,2020-09-03,143.69000244140625,129.25,1.237889752496573,-1787.5131048242295,-10.049413456788393,Stop Loss,2,breakout,3
MSTR,2020-08-14,2020-09-08,14.663000106811523,13.881999969482422,12.130694964381528,-947.4074433079414,-5.32633248066538,Stop Loss,25,breakout,3
MSTR,2020-09-15,2020-09-16,15.574999809265137,17.489999771118164,10.54239363265268,2018.8683404369478,12.295345009980975,Take Profit,1,trend,2
MSTR,2020-09-16,2020-09-17,17.489999771118164,16.361000061035156,9.965244299646177,-1125.075792520688,-6.4551156366929385,Stop Loss,1,breakout,3
NET,2020-10-13,2020-10-21,59.72999954223633,54.97999954223633,2.8238195688931325,-1341.3142952242379,-7.952452764780579,Stop Loss,8,breakout,3
MSTR,2020-10-21,2020-10-28,18.104999542236328,16.21500015258789,8.945604759800966,-1690.7187536059982,-10.439102112316236,Stop Loss,7,breakout,3
NET,2020-11-06,2020-11-10,64.47000122070312,61.2400016784668,2.3810543416570984,-769.0804433592249,-5.010081403874838,Stop Loss,4,momentum,3
MSTR,2020-11-09,2020-11-17,18.500999450683594,20.81999969482422,8.297204522511443,1924.1219313388733,12.534459288657187,Take Profit,8,trend,2
RIOT,2020-11-23,2020-11-24,7.230000019073486,6.809999942779541,22.0306754264025,-925.2885359896195,-5.809129670621601,Stop Loss,1,breakout,3
NET,2020-11-12,2020-11-27,64.1500015258789,74.76000213623047,2.3329878493615053,2475.3002505668346,16.539361430991324,Take Profit,15,trend,2
MARA,2020-11-23,2020-11-27,4.920000076293945,4.28000020980835,32.374345789253105,-2071.957698268049,-13.008127165877688,Stop Loss,4,breakout,3
MSTR,2020-11-24,2020-11-30,24.722999572753906,34.277000427246094,6.255524966460072,5976.529087485675,38.64418161063764,Take Profit,6,breakout,3
MSTR,2020-11-30,2020-12-01,34.277000427246094,32.400001525878906,5.442561978783228,-1021.5682854798946,-5.475971870266685,Stop Loss,1,breakout,3
MARA,2020-11-30,2020-12-02,6.28000020980835,5.760000228881836,29.706161312016782,-1544.7203315648665,-8.28025419671734,Stop Loss,2,breakout,3
RIOT,2020-11-30,2020-12-03,8.449999809265137,9.65999984741211,22.077479702131495,2671.3751281768123,14.319527401885251,Take Profit,3,breakout,3
SNOW,2020-12-03,2020-12-04,339.8900146484375,387.70001220703125,0.5504137331637446,2631.5279238775106,14.066314248168082,Take Profit,1,breakout,3
SNOW,2020-12-04,2020-12-11,387.70001220703125,353.9599914550781,0.516476051437902,-1742.5912693401622,-8.702610185613304,Stop Loss,7,breakout,3
MDB,2020-12-10,2020-12-17,319.05999755859375,372.8500061035156,0.6275865761277116,3375.7887292587875,16.858900820070247,Take Profit,7,breakout,3
MARA,2020-12-16,2020-12-17,8.229999542236328,9.470000267028809,23.27154626406823,2885.673423448635,15.06683832032798,Take Profit,1,momentum,3
MARA,2020-12-17,2020-12-21,9.470000267028809,11.5,23.53031885751607,4776.654099748462,21.4361106201753,Take Profit,4,breakout,3
MSTR,2020-12-08,2020-12-22,28.94499969482422,33.150001525878906,6.917870912360703,2908.965985347672,14.527558733422968,Take Profit,14,momentum,3
RIOT,2020-12-22,2020-12-23,14.645000457763672,13.90999984741211,17.839550571740027,-1311.2080558626485,-5.018781750613881,Stop Loss,1,breakout,3
SNOW,2020-12-15,2020-12-28,328.6099853515625,302.80999755859375,0.5828332176075257,-1503.7089899610862,-7.851248879539282,Stop Loss,13,trend,2
NET,2020-12-18,2020-12-28,83.80999755859375,77.5,2.6587773816383,-1677.6878786981954,-7.528931800985039,Stop Loss,10,trend,2
MDB,2020-12-17,2021-01-04,372.8500061035156,350.4100036621094,0.5976454934054221,-1341.1166331113113,-6.01850665792296,Stop Loss,18,breakout,3
MARA,2021-01-07,2021-01-08,22.360000610351562,26.389999389648438,10.379767985955144,4183.045231278401,18.023249862664077,Take Profit,1,breakout,3
CRWD,2020-12-18,2021-01-11,203.75,232.24000549316406,1.0936546054672402,3115.822571738585,13.982824781921014,Take Profit,24,breakout,3
MSTR,2021-01-07,2021-01-11,53.57500076293945,49.54899978637695,4.332088011127276,-1744.0990563353112,-7.514700735846726,Stop Loss,4,breakout,3
PLTR,2021-01-27,2021-01-28,39.0,35.65999984741211,6.663216980376232,-2225.514573118284,-8.564102955353565,Stop Loss,1,breakout,3
MSTR,2021-02-08,2021-02-09,104.0999984741211,127.29399871826172,2.3894129972625984,5542.004564186149,22.280500080801225,Take Profit,1,breakout,3
MSTR,2021-02-09,2021-02-10,127.29399871826172,97.447998046875,2.171727771722147,-6481.738853288837,-23.446510418330494,Stop Loss,1,breakout,3
