symbol,entry_date,exit_date,entry_price,exit_price,shares,stock_return_pct,gross_pnl,leverage_cost,net_pnl,leveraged_return_pct,exit_reason,days_held,signal_type,quality
SMCI,2020-01-03,2020-01-08,2.3440001010894775,2.306999921798706,2133.105710053523,-1.5785058743629752,-315.70117487259506,47.355176230889256,-363.0563511034843,-6.314023497451901,Stop Loss,5,trend,1
TSLA,2020-01-08,2020-01-09,32.80933380126953,32.089332580566406,146.8628364609406,-2.1945011900097318,-422.96568611120256,63.44485291668038,-486.4105390278829,-8.778004760038927,Stop Loss,1,breakout,3
SMCI,2020-01-08,2020-01-10,2.306999921798706,2.6089999675750732,2088.6311173740414,13.090596272795096,2523.0667722276216,378.46001583414323,2144.6067563934785,52.362385091180386,Take Profit,2,trend,1
MDB,2020-01-08,2020-01-13,140.27000427246094,152.91000366210938,34.35140570102815,9.011191990196608,1736.8069883782466,260.521048256737,1476.2859401215096,36.04476796078643,Take Profit,5,trend,1
ZS,2020-01-09,2020-01-13,54.0,59.619998931884766,84.72715842470954,10.407405429416233,1904.6661593939957,285.69992390909937,1618.9662354848963,41.62962171766493,Take Profit,4,breakout,3
SMCI,2020-01-10,2020-01-13,2.6089999675750732,2.8510000705718994,2164.6492921884437,9.27558857816899,2095.381406646441,314.30721099696615,1781.0741956494749,37.10235431267596,Take Profit,3,breakout,2
DDOG,2020-01-09,2020-01-14,40.209999084472656,39.27000045776367,113.7842989084047,-2.3377235715281843,-427.82833885978,64.17425082896699,-492.002589688747,-9.350894286112737,Stop Loss,5,trend,1
SMCI,2020-01-13,2020-01-14,2.8510000705718994,2.7720000743865967,2836.104145426075,-2.770957356358663,-896.2088666791248,134.4313300018687,-1030.6401966809935,-11.083829425434653,Stop Loss,1,breakout,3
CRWD,2020-01-09,2020-01-16,55.939998626708984,62.2400016784668,81.78882136671736,11.262072231710473,2061.0792968399755,309.16189452599633,1751.9174023139792,45.04828892684189,Take Profit,7,trend,3
TSLA,2020-01-13,2020-01-16,34.990665435791016,34.232666015625,231.08257639731298,-2.1662903826649673,-700.641835678529,105.09627535177934,-805.7381110303083,-8.66516153065987,Stop Loss,3,breakout,3
