symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality
SMCI,2020-01-03,2020-01-08,2.3440001010894775,2.306999921798706,170.64845680428186,-631.4023497451901,-1.5785058743629752,Stop Loss,5,trend,1
TSLA,2020-01-08,2020-01-09,32.80933380126953,32.089332580566406,12.0954296315495,-870.8724099644389,-2.1945011900097318,Stop Loss,1,breakout,3
SMCI,2020-01-08,2020-01-10,2.306999921798706,2.6089999675750732,172.01690580980437,5194.911342886997,13.090596272795096,Take Profit,2,trend,1
MDB,2020-01-08,2020-01-13,140.27000427246094,152.91000366210938,2.8291364950730657,3576.028357095567,9.011191990196608,Take Profit,5,trend,1
ZS,2020-01-09,2020-01-13,54.0,59.619998931884766,7.268307892619479,4084.788259313108,10.407405429416233,Take Profit,4,breakout,3
SMCI,2020-01-10,2020-01-13,2.6089999675750732,2.8510000705718994,160.3921763574517,3881.4923198388415,9.27558857816899,Take Profit,3,breakout,2
DDOG,2020-01-09,2020-01-14,40.209999084472656,39.27000045776367,9.760970781842515,-917.5299130278486,-2.3377235715281843,Stop Loss,5,trend,1
SMCI,2020-01-13,2020-01-14,2.8510000705718994,2.7720000743865967,167.02024405829133,-1319.4598643473346,-2.770957356358663,Stop Loss,1,breakout,3
CRWD,2020-01-09,2020-01-16,55.939998626708984,62.2400016784668,7.01624304320335,4420.2352584055625,11.262072231710473,Take Profit,7,trend,3
TSLA,2020-01-13,2020-01-16,34.990665435791016,34.232666015625,13.608621661423394,-1031.5327328617614,-2.1662903826649673,Stop Loss,3,breakout,3
NET,2020-01-15,2020-01-21,18.850000381469727,18.0,24.667892270567346,-2096.7717840036366,-4.5092857520857645,Stop Loss,6,trend,3
RIOT,2020-01-14,2020-01-22,1.4199999570846558,1.340000033378601,327.4576005374678,-2619.6583059965155,-5.633797614353404,Stop Loss,8,trend,3
DDOG,2020-01-14,2020-01-23,39.27000045776367,42.810001373291016,11.840839655970012,4191.658322274632,9.014517123152938,Take Profit,9,trend,1
ZS,2020-01-13,2020-01-24,59.619998931884766,57.79999923706055,7.9868288515259644,-1453.602607239052,-3.0526664331268263,Stop Loss,11,breakout,3
NET,2020-01-21,2020-01-29,18.0,17.59000015258789,26.191635134330525,-1073.8566408549157,-2.2777769300672746,Stop Loss,8,trend,1
DDOG,2020-01-27,2020-01-30,41.255001068115234,47.040000915527344,11.442041140267271,6619.220625052923,14.022541989177558,Take Profit,3,trend,1
MDB,2020-01-27,2020-01-30,148.77000427246094,167.42999267578125,3.172960986131564,5920.741520540277,12.542843226075306,Take Profit,3,trend,1
AMD,2020-01-14,2020-01-31,48.209999084472656,47.0,9.645089971802369,-1167.0550035537265,-2.509850876272614,Stop Loss,17,trend,1
SMCI,2020-01-16,2020-01-31,2.8610000610351562,2.7960000038146973,168.44924189326872,-1094.9210361805403,-2.271934842145404,Stop Loss,15,breakout,3
MDB,2020-01-30,2020-01-31,167.42999267578125,163.91000366210938,3.1617510012792938,-1112.9328788469165,-2.1023646704017573,Stop Loss,1,breakout,2
NET,2020-01-30,2020-01-31,18.31999969482422,17.860000610351562,28.89584911600161,-1329.2064138420753,-2.5109120749746277,Stop Loss,1,trend,1
RIOT,2020-01-30,2020-01-31,1.4299999475479126,1.350000023841858,370.1901862965624,-2961.518666045516,-5.59440046436605,Stop Loss,1,trend,1
