symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
RIOT,2020-01-16,2020-01-21,1.4299999475479126,1.399999976158142,13.529472055396129,-481.85210464173326,-24.905593116671966,Stop Loss,5,trend,3,0.675,0.10724999606609344,0.21449999213218687
NET,2020-01-15,2020-01-23,18.850000381469727,18.170000076293945,1.1246906260083862,-325.6991864446854,-15.36286573409294,Stop Loss,8,trend,3,0.66,2.262000045776367,0.0
RIOT,2020-01-21,2020-01-23,1.399999976158142,1.2599999904632568,5.441752591700146,-181.7001127963021,-23.849999587024957,Stop Loss,2,trend,1,0.49,0.04199999928474426,0.2099999964237213
ZS,2020-01-09,2020-01-24,54.0,57.79999923706055,0.4938271604938271,-491.5555826822915,-18.433334350585938,Stop Loss,15,breakout,3,0.7250000000000001,12.149999999999999,0.0
DDOG,2020-01-16,2020-01-24,40.61000061035156,42.04999923706055,0.4764132981725633,-496.7847817978946,-25.677421604731617,Stop Loss,8,trend,3,0.66,4.873200073242187,6.091500091552734
AMD,2020-01-23,2020-01-24,51.709999084472656,50.349998474121094,0.13424717119624222,-133.16849826883882,-19.183234202350548,Stop Loss,1,trend,1,0.645,0.7756499862670898,7.756499862670898
NET,2020-01-23,2020-01-24,18.170000076293945,17.770000457763672,0.3820539939737106,-131.26419216212463,-18.908914445704227,Stop Loss,1,trend,1,0.645,0.2725500011444092,2.7255000114440917
NVDA,2020-01-16,2020-01-27,6.195919513702393,5.978628635406494,1.5612811211298692,-189.30338950226454,-19.569129818601734,Stop Loss,11,trend,1,0.595,1.0223267197608947,0.0
DDOG,2020-01-27,2020-01-28,41.255001068115234,42.15999984741211,0.12166167439463876,-80.78853419812225,-16.096050893820856,Stop Loss,1,trend,1,0.645,0.6188250160217285,6.188250160217285
NVDA,2020-01-27,2020-01-29,5.978628635406494,6.111542224884033,0.8395156838100297,-88.27837440706516,-17.588302862325232,Stop Loss,2,trend,1,0.64,0.17935885906219481,0.8967942953109741
NVDA,2020-01-29,2020-01-30,6.111542224884033,6.11826229095459,0.7843732049783151,-83.55292779538892,-17.42962754527581,Stop Loss,1,trend,1,0.645,0.0916731333732605,0.916731333732605
NVDA,2020-01-30,2020-01-31,6.11826229095459,5.884792327880859,0.7653032570192178,-93.37592670690952,-19.94220939314902,Stop Loss,1,trend,1,0.645,0.09177393436431884,0.9177393436431884
AMD,2020-01-24,2020-02-03,50.349998474121094,48.02000045776367,0.10469825593232819,-98.85974277695901,-18.75342375719281,Stop Loss,10,trend,1,0.6,7.552499771118164,0.0
NET,2020-01-24,2020-02-03,17.770000457763672,17.690000534057617,0.29665486160034016,-85.75698821752972,-16.267866929538012,Stop Loss,10,trend,1,0.6,2.6655000686645507,0.0
NVDA,2020-01-31,2020-02-03,5.884792327880859,5.981863975524902,0.7745090343056322,-88.69888818186166,-19.4607936081957,Stop Loss,3,trend,1,0.635,0.26481565475463864,0.8827188491821288
RIOT,2020-01-30,2020-02-04,1.4299999475479126,1.3799999952316284,3.2743540072112673,-49.95025923989221,-10.667830179941841,Exit Signal,5,trend,1,0.625,0.10724999606609344,0.0
TSLA,2020-02-03,2020-02-05,52.0,48.97999954223633,0.16128476913029718,-185.4081359990372,-22.107115855583775,Stop Loss,2,breakout,3,0.54,1.56,7.8
MSTR,2020-02-03,2020-02-05,14.947999954223633,15.284000396728516,0.28053278098939666,-73.68922065246963,-17.572649975622223,Stop Loss,2,trend,1,0.64,0.44843999862670897,2.242199993133545
NVDA,2020-02-04,2020-02-05,6.151119232177734,6.24146842956543,0.6709028870951491,-68.33966951340982,-16.559951788519413,Stop Loss,1,trend,1,0.645,0.092266788482666,0.9226678848266601
TSLA,2020-02-05,2020-02-07,48.97999954223633,49.871334075927734,0.15068276785095402,-131.0282464155734,-17.753441892027556,Stop Loss,2,trend,3,0.6900000000000001,1.46939998626709,7.346999931335449
MARA,2020-01-30,2020-02-10,1.0700000524520874,1.1100000143051147,4.3760054476960635,-71.61334301728216,-15.294394734915869,Stop Loss,11,trend,1,0.595,0.1765500086545944,0.0
SMCI,2020-01-31,2020-02-10,2.7960000038146973,2.9110000133514404,1.6301233250135088,-130.13844973524618,-28.55275373458487,Stop Loss,10,trend,1,0.6,0.41940000057220456,0.41940000057220456
RIOT,2020-02-05,2020-02-10,1.4800000190734863,1.4800000190734863,4.986785003545446,-173.44038465852196,-23.500000000000004,Stop Loss,5,trend,3,0.675,0.11100000143051147,0.22200000286102295
