simulation,final_capital,total_return_pct,max_drawdown_pct
1,62676.13680020354,526.7613680020354,-24.23602697631731
2,128420.05999098167,1184.2005999098167,-34.289073145452825
3,95120.46094262,851.2046094262,-27.211985094549657
4,117715.6248109932,1077.156248109932,-27.711907106325402
5,100116.80580620359,901.1680580620359,-30.498797144222877
6,69406.37373324796,594.0637373324796,-31.232281569949414
7,97059.26837361885,870.5926837361884,-36.674557785403664
8,216709.813038087,2067.0981303808703,-32.163124521835044
9,530862.6116941374,5208.626116941375,-26.837200414694447
10,45158.86206597147,351.58862065971476,-32.19434176639251
11,94836.92846095673,848.3692846095673,-26.58847893262824
12,132692.26320399586,1226.9226320399587,-39.58129446723806
13,98375.06105739079,883.7506105739079,-29.77236022073788
14,66772.55112992229,567.7255112992228,-45.589878967219455
15,105142.42903586666,951.4242903586667,-20.193535402271287
16,20196.89324513456,101.96893245134562,-56.01884854505118
17,83489.90382497627,734.8990382497627,-35.29618577162191
18,71894.62589541962,618.9462589541963,-26.826799127839074
19,64121.92791245616,541.2192791245616,-28.589819256129207
20,79291.56525391783,692.9156525391783,-34.98391391326867
21,16073.46569465598,60.73465694655981,-42.19584650062884
22,64295.112148054664,542.9511214805467,-38.25887088077439
23,64341.098178210406,543.410981782104,-32.42323010197449
24,80972.08218476413,709.7208218476413,-33.548506224471765
25,50395.66480765179,403.95664807651787,-31.374609319610002
26,62419.08134819102,524.1908134819103,-34.32320941021047
27,243644.14632103776,2336.441463210377,-30.533683747483696
28,16601.08774498755,66.01087744987552,-45.61994525662377
29,18589.99192532941,85.8999192532941,-51.07244070138559
30,25277.22249092642,152.7722249092642,-62.212497730427266
31,66088.00750222421,560.8800750222421,-38.42917230754941
32,234273.18930159727,2242.7318930159727,-22.22969009628778
33,27635.40945708292,176.35409457082918,-34.199653933350845
34,47681.5336080719,376.81533608071896,-32.02212908894879
35,12861.077792642067,28.61077792642067,-60.508040480475735
36,28895.69683415691,188.9569683415691,-34.82060359613773
37,85414.06004302646,754.1406004302646,-33.30947109128546
38,26906.838746411362,169.0683874641136,-46.9492083119152
39,161307.63006942693,1513.0763006942693,-36.83676251404787
40,159709.19420284787,1497.0919420284786,-28.684808914388928
41,203963.45610944682,1939.6345610944682,-31.841869730776097
42,151331.1668512762,1413.3116685127623,-32.21518190036882
43,214475.28874131257,2044.7528874131258,-23.862407844192894
44,11990.52503347335,19.905250334733502,-50.85793139946381
45,183875.61044959287,1738.7561044959289,-29.892619191968617
46,33428.65934033592,234.2865934033592,-27.50394826978979
47,15552.16098984433,55.521609898443295,-40.936854637464236
48,666544.3848576943,6565.443848576943,-20.607922176881242
49,41187.23312243522,311.8723312243522,-38.310007411520964
50,171475.66714408825,1614.7566714408824,-39.778989045251826
51,27488.097028035736,174.88097028035736,-47.78501035575966
52,107153.84684792055,971.5384684792054,-47.199165660796496
53,19217.231442379765,92.17231442379766,-38.07750573009786
54,70506.7793102415,605.0677931024151,-28.80741097780783
55,66969.317983531,569.69317983531,-28.626777971289304
56,194521.8517869311,1845.218517869311,-24.264420213941758
57,65416.533783690145,554.1653378369015,-37.35869445356146
58,162297.60511396948,1522.9760511396946,-55.90326558175784
59,539376.1796224612,5293.761796224612,-23.55902872558096
60,23143.418428502377,131.43418428502375,-38.40917533178436
61,104932.26161225438,949.3226161225439,-26.047788825327817
62,25727.919568909136,157.27919568909135,-39.250943114884365
63,83227.64055793296,732.2764055793295,-31.20989820990579
64,158388.4466517239,1483.884466517239,-34.82974486494026
65,132868.76068457754,1228.6876068457755,-27.23482200995409
66,65490.46698823034,554.9046698823033,-32.47711798065062
67,41404.955941939974,314.04955941939977,-41.397247942668706
68,56001.981867405586,460.0198186740559,-37.85208555138399
69,107166.80601247669,971.6680601247668,-30.315582309104748
70,205484.8199164497,1954.848199164497,-31.38299470771937
71,64428.55562779466,544.2855562779466,-38.16164709315509
72,157473.22313475862,1474.7322313475863,-26.820029129724947
73,62022.37833691096,520.2237833691096,-37.0553715453375
74,27367.415460784876,173.67415460784878,-50.9141117003504
75,32999.19049383864,229.99190493838643,-36.11121543659645
76,56730.16796742021,467.30167967420215,-47.27621871704774
77,30348.667439164023,203.48667439164024,-45.96936130858441
78,38356.5573239416,283.565573239416,-51.89225704076546
79,234515.10785523333,2245.1510785523333,-34.39428269757293
80,44531.10047201848,345.31100472018477,-35.008751874605174
81,65793.21986867697,557.9321986867697,-28.152288500272704
82,131645.99086061027,1216.4599086061028,-31.35021180371031
83,51522.79623655742,415.22796236557423,-36.294428773580215
84,33326.39176183647,233.2639176183647,-38.24087545123614
85,195993.9931675921,1859.9399316759211,-33.119781310596665
86,34898.47844626391,248.98478446263908,-31.993051819619435
87,24126.271016618568,141.26271016618568,-40.30545895056553
88,66818.3695624538,568.1836956245379,-36.46847002562558
89,181075.66425914253,1710.7566425914254,-47.979505565360824
90,64434.618767623775,544.3461876762377,-42.03367156384294
91,79085.38095861816,690.8538095861817,-48.99014655527305
92,128838.1484093358,1188.381484093358,-24.497039961216732
93,72109.23446991119,621.0923446991119,-32.78413222246424
94,252468.90068454744,2424.689006845474,-25.705591093207524
95,39277.0689901238,292.77068990123803,-49.71619779878772
96,29838.7670674194,198.387670674194,-53.71987146866797
97,18653.038526153523,86.53038526153523,-50.88685497988119
98,169737.1095201551,1597.3710952015508,-20.491460209890537
99,108350.98144172756,983.5098144172756,-29.231014128447345
100,155811.24901835268,1458.112490183527,-42.69617220138855
101,46094.26024853685,360.94260248536847,-22.04611993777876
102,52227.42961257029,422.2742961257029,-41.39077867088766
103,81294.36610634145,712.9436610634145,-30.1631870901381
104,144042.36630191896,1340.4236630191897,-26.688069098087354
105,285227.9703145802,2752.2797031458017,-36.0429266295713
106,178091.26039368683,1680.9126039368682,-32.932348137842524
107,346345.7086628649,3363.4570866286494,-26.858605203307633
108,47055.75831042652,370.55758310426523,-42.59887984223336
109,22685.301338680936,126.85301338680937,-44.972745139119276
110,74355.22106032513,643.5522106032513,-39.38309029343757
111,93937.87761158287,839.3787761158286,-27.69124676417814
112,167577.60824100318,1575.776082410032,-26.567452953956476
113,15895.289103701505,58.95289103701506,-39.178631041554304
114,229988.54300271475,2199.8854300271473,-22.74328283325355
115,38474.877752924105,284.748777529241,-38.01293641171274
116,60925.49146765445,509.2549146765445,-40.314627340338795
117,77899.23809150542,678.9923809150542,-27.474642901836372
118,32435.45681956725,224.3545681956725,-39.99924217945624
119,49228.81831157503,392.2881831157503,-37.88691683495152
120,66024.70326578662,560.2470326578663,-38.92110324441747
121,37152.06607599889,271.5206607599889,-44.96493114854069
122,449190.958942772,4391.90958942772,-53.60223381682378
123,44097.544716886005,340.97544716886006,-35.049271889467306
124,91959.92415510082,819.5992415510082,-33.1876938681347
125,102975.83328282826,929.7583328282826,-42.13475616260884
126,99790.17829359765,897.9017829359766,-34.215055104564165
127,46950.54210500262,369.5054210500262,-38.12663311566414
128,61300.61927509833,513.0061927509832,-26.195074638299822
129,52080.003543940584,420.8000354394058,-30.33888419656654
130,41596.26714020905,315.9626714020905,-27.653224373775664
131,7956.538311537186,-20.43461688462814,-54.50464273731698
132,66642.00896244746,566.4200896244746,-33.52059391847044
133,134541.33738293435,1245.4133738293433,-26.350594790225784
134,67673.37494586284,576.7337494586284,-31.411016805707114
135,32526.49368332326,225.26493683323258,-40.39265751321313
136,139724.6236402666,1297.246236402666,-28.153429499248166
137,169702.33656510263,1597.0233656510263,-25.622920361058473
138,324860.61915069533,3148.6061915069536,-36.027920530828446
139,106527.07578788204,965.2707578788204,-28.234015430848697
140,139901.3887363741,1299.0138873637409,-26.141992164039795
141,92971.8950297471,829.718950297471,-23.036787827691644
142,64534.06307199837,545.3406307199837,-29.76519706742677
143,387610.4802613728,3776.104802613728,-37.307576139266615
144,347391.20169419487,3373.9120169419484,-26.212575516710007
145,83579.60975175946,735.7960975175946,-32.572255675494674
146,78685.24784006532,686.8524784006531,-41.503541793233715
147,17413.936644827245,74.13936644827245,-47.542600301294854
148,131592.7902498252,1215.9279024982518,-38.07102878565862
149,157119.10018185255,1471.1910018185256,-30.11290292319898
150,270122.5998938465,2601.2259989384647,-35.19053498539404
151,117533.65639390859,1075.3365639390859,-31.6525722693124
152,53609.09667850724,436.09096678507234,-48.3283004431617
153,36381.23652968274,263.8123652968274,-39.80123636312165
154,158139.0984041829,1481.3909840418291,-20.198222952696298
155,43295.29175391809,332.95291753918093,-48.378135551590454
156,35942.07654639173,259.42076546391723,-39.776341782863426
157,35994.38623715156,259.9438623715156,-34.8662273546365
158,83968.78082294985,739.6878082294985,-26.081637782760215
159,114660.83639564853,1046.6083639564852,-34.566645858164854
160,38198.901508771494,281.98901508771496,-51.94249658965724
161,26191.96176828017,161.9196176828017,-37.13894833306573
162,148466.24233573794,1384.6624233573796,-38.087026235704904
163,114366.27298729899,1043.66272987299,-34.50607031750868
164,33920.17155625046,239.20171556250463,-39.03747985720072
165,84491.97122032566,744.9197122032566,-43.34386931355856
166,157820.7229120528,1478.207229120528,-40.365565740093075
167,20467.66402290547,104.67664022905467,-53.991586177326234
168,44212.64341962501,342.1264341962501,-32.67544426126165
169,38220.701315766375,282.20701315766377,-30.214423820966196
170,72507.4004643995,625.074004643995,-30.931798241632507
171,17729.94379564349,77.29943795643489,-50.35595693479639
172,48851.81305769386,388.5181305769386,-36.78432306050394
173,72365.46469879385,623.6546469879385,-41.49323639097837
174,38068.228589311744,280.68228589311747,-35.0373619722699
175,161556.31685019916,1515.5631685019916,-28.56158213916921
176,107166.1727230254,971.6617272302541,-30.15646452347887
177,54720.1309881175,447.20130988117495,-31.925526306612834
178,70634.06858827818,606.3406858827818,-49.426064842289094
179,44996.85419283321,349.9685419283321,-57.313333841375865
180,57437.96450891332,474.3796450891332,-48.38399947520664
181,260548.93509062668,2505.4893509062667,-28.322137476990967
182,125725.0484905541,1157.250484905541,-30.628943184131437
183,222191.36538631993,2121.913653863199,-37.42167796946557
184,240777.091662163,2307.77091662163,-32.48019285036075
185,48322.69880783157,383.2269880783157,-53.563782156069294
186,53030.447289656135,430.3044728965613,-31.37072489539461
187,45005.75894463224,350.05758944632237,-25.836013215445885
188,9159.833625459043,-8.401663745409568,-68.91776732803667
189,180901.8873750764,1709.0188737507638,-21.82232089397384
190,67274.42327421367,572.7442327421367,-44.47154323746413
191,40076.816363127,300.76816363127,-29.212641221185066
192,9995.89875577592,-0.041012442240808016,-57.40891666308324
193,103703.87114416307,937.0387114416307,-33.62330877799359
194,45922.87858494726,359.2287858494726,-51.60065554777583
195,90047.46908679002,800.4746908679001,-25.516249341274666
196,125262.81613841558,1152.6281613841559,-33.08096440916539
197,64062.37721575376,540.6237721575376,-38.01605588628158
198,74331.35076921369,643.3135076921369,-35.54930054242318
199,38068.887930265,280.68887930265004,-47.622320375862095
200,36839.724880218164,268.39724880218165,-46.41225239688809
201,130433.58415413926,1204.3358415413925,-25.015328297515264
202,155709.03271047026,1457.0903271047025,-53.95629236739878
203,148802.6406971567,1388.0264069715668,-35.34881346963727
204,22510.88376415302,125.10883764153019,-44.68622551211527
205,136011.58575447573,1260.1158575447573,-35.47411674244327
206,32349.752397793276,223.49752397793276,-50.48586347138057
207,15367.84931969903,53.678493196990296,-52.79496810499937
208,100471.7483736141,904.717483736141,-45.63814017238943
209,291662.9850936941,2816.6298509369412,-41.96589677241713
210,86203.95884535644,762.0395884535643,-27.610919888853292
211,31001.77583738666,210.01775837386657,-41.9446341645934
212,76152.51951875324,661.5251951875324,-36.30574402454661
213,66412.27279156267,564.1227279156268,-27.71547734096334
214,101120.79517994424,911.2079517994424,-34.67969548080732
215,48016.968237487294,380.16968237487293,-35.01688524817176
216,30965.673736770153,209.65673736770154,-27.65393384844049
217,38159.73791709266,281.59737917092656,-35.761831798584666
218,74983.65438435253,649.8365438435253,-30.522767099034244
219,40621.295389048806,306.2129538904881,-44.851284691178094
220,142711.33549644984,1327.1133549644985,-27.387818428604927
221,62032.46181088703,520.3246181088703,-26.63768586434132
222,119364.45385033895,1093.6445385033896,-45.56487867136953
223,118064.95794027692,1080.6495794027692,-35.25234144168702
224,43198.1471297835,331.981471297835,-43.23724268585124
225,35886.8820537748,258.86882053774804,-32.9890323033369
226,36041.05002269592,260.4105002269592,-25.237931642243094
227,14883.473769190277,48.834737691902774,-59.30562354493735
228,65643.69208082696,556.4369208082696,-39.06336248914036
229,111858.7809967525,1018.587809967525,-26.07262575331506
230,365330.5952142207,3553.305952142207,-26.64598344716962
231,114396.66008027295,1043.9666008027295,-48.84078492341612
232,112863.11564474061,1028.6311564474063,-36.014222084257355
233,124685.43856264133,1146.8543856264132,-29.637809451138526
234,53447.506692724644,434.4750669272464,-41.672996524600926
235,78029.37041865036,680.2937041865036,-27.17467128665817
236,94770.68677601253,847.7068677601253,-23.091820619898826
237,35511.87575910563,255.1187575910563,-45.94355978627787
238,70364.74930913658,603.6474930913657,-25.54659356369641
239,55485.61849686264,454.8561849686264,-47.44704436487094
240,153255.78843345313,1432.557884334531,-26.380098116394667
241,18559.575891156357,85.59575891156356,-55.86668496546117
242,114028.00744292502,1040.2800744292501,-35.575597183687854
243,54043.50437536661,440.4350437536661,-39.92065351408306
244,172647.25933341286,1626.4725933341285,-28.779546528735967
245,64504.84146148276,545.0484146148276,-30.167777641009017
246,74181.8882710328,641.8188827103281,-62.28922990712446
247,158641.9985596558,1486.419985596558,-24.097673252945526
248,74669.79757605345,646.6979757605345,-25.790636992954074
249,66582.56616824197,565.8256616824198,-44.589640673181876
250,70401.76061473551,604.0176061473551,-30.251507755777833
251,181227.16655721754,1712.2716655721754,-28.18232754315455
252,82545.2141968947,725.452141968947,-40.773904535520664
253,66913.897951078,569.13897951078,-28.176664247373246
254,32031.485187908496,220.31485187908496,-33.34252135134162
255,76639.02865798926,666.3902865798925,-36.108125175683455
256,199907.1183147501,1899.071183147501,-32.042215566302154
257,252654.233858848,2426.5423385884797,-24.7693260610464
258,38785.66202212608,287.8566202212608,-42.156334122806356
259,28852.579288746838,188.52579288746838,-45.546451146037676
260,17261.792357043356,72.61792357043356,-40.17870047234799
261,155691.32636600087,1456.9132636600086,-23.984814571729014
262,23436.080117677084,134.36080117677082,-47.16482169615223
263,21527.980262865098,115.27980262865098,-32.60830342632354
264,94384.46340322644,843.8446340322644,-21.134542511591402
265,19151.54368848162,91.5154368848162,-33.8206036269597
266,61180.08610706496,511.80086107064966,-27.20326457638157
267,15755.5938192894,57.555938192894,-39.805293002412334
268,72075.88730286813,620.7588730286813,-42.45543215589974
269,149639.07073444678,1396.390707344468,-31.4137380779211
270,208336.95555919083,1983.3695555919082,-27.908163986941265
