entry_date,exit_date,symbol,strategy,quality,shares,entry_price,exit_price,leveraged_value,exit_value,pnl,pnl_pct,days_held,exit_reason
2024-05-03,2024-05-17,TSLA,TREND_FOLLOW,3,620.8951845253193,181.19000244140625,177.4600067138672,112500.0,110184.06361447097,-2315.9363855290285,-2.058610120470248,14,RSI_SELL
2024-05-08,2024-05-22,NVDA,TREND_FOLLOW,3,684.6781103306946,90.37093353271484,94.90686798095703,61875.0,64980.655026606364,3105.655026606364,5.0192404470405885,14,TIME_EXIT
2024-05-22,2024-05-23,TSLA,PULLBACK,3,233.5020816667258,180.11000061035156,173.74000549316406,42056.060071512344,40568.65295144218,-1487.4071200701655,-3.5367248323808047,1,RSI_SELL
2024-05-20,2024-06-03,AMD,TREND_FOLLOW,3,493.301392791547,166.3300018310547,163.5500030517578,82050.82156627985,80679.4442964939,-1371.377269785953,-1.671375427579562,14,TIME_EXIT
2024-05-22,2024-06-05,NVDA,TREND_FOLLOW,3,805.6905194862064,94.90686798095703,122.3843765258789,76465.56376638608,98603.93190013086,22138.368133744778,28.952075997740444,14,TAKE_PROFIT
2024-06-05,2024-06-10,AMD,TREND_FOLLOW,3,334.2455865777607,166.1699981689453,160.33999633789062,55541.58850960455,53592.936127834255,-1948.6523817702982,-3.5084563370623196,5,RSI_SELL
2024-06-03,2024-06-11,TSLA,PULLBACK,3,429.7623247099513,176.2899932861328,170.66000366210938,75762.79733775015,73343.23990883693,-2419.55742891322,-3.1935956880351792,8,RSI_SELL
2024-06-05,2024-06-20,NVDA,TREND_FOLLOW,3,825.143774456745,122.3843765258789,130.7313232421875,100984.70638109918,107872.13749978338,6887.431118684195,6.820271470307787,15,TIME_EXIT
2024-06-20,2024-06-24,NVDA,TREND_FOLLOW,3,763.3045517038543,130.7313232421875,118.0660400390625,99787.81408102959,90120.34576346591,-9667.468317563675,-9.688024942317613,4,STOP_LOSS
2024-06-11,2024-06-25,PLTR,TREND_FOLLOW,3,3552.226831006548,23.850000381469727,24.559999465942383,84720.61127457317,87242.68907242702,2522.0777978538536,2.97693531705052,14,TIME_EXIT
2024-06-20,2024-07-02,TSLA,PULLBACK,3,302.27072495824945,181.57000732421875,231.25999450683594,54883.29774456626,69903.12619342208,15019.82844885582,27.366847594982325,12,TAKE_PROFIT
2024-06-24,2024-07-08,NVDA,PULLBACK,3,543.8856780279078,118.0660400390625,128.1522674560547,64214.42823871563,69700.1828761501,5485.754637434467,8.542869239668855,14,TIME_EXIT
2024-07-02,2024-07-16,TSLA,TREND_FOLLOW,3,509.704842676412,231.25999450683594,256.55999755859375,117874.33911745471,130769.87319266367,12895.534075208954,10.940069036026006,14,TIME_EXIT
2024-07-08,2024-07-17,NVDA,PULLBACK,3,779.5324669022551,128.1522674560547,117.94607543945312,99898.8531891359,91942.79514875638,-7956.0580403795175,-7.964113487185403,9,RSI_SELL
2024-07-17,2024-07-18,NET,PULLBACK,3,705.5966928706347,80.58000183105469,78.5199966430664,56856.98280350187,55403.449955560995,-1453.5328479408781,-2.5564720044401543,1,RSI_SELL
2024-07-16,2024-07-24,TSLA,TREND_FOLLOW,3,477.45283308834485,256.55999755859375,215.99000549316406,122495.29769148942,103125.04004147835,-19370.257650011074,-15.813062227740401,8,STOP_LOSS
2024-07-17,2024-07-30,PLTR,TREND_FOLLOW,3,3663.229443137613,28.219999313354492,26.3700008392334,103376.3323700034,96599.36348984335,-6776.968880160042,-6.55562905434098,13,RSI_SELL
2024-07-24,2024-07-30,COIN,TREND_FOLLOW,3,361.35274355947524,245.05999755859375,224.4600067138672,88553.10245447616,81109.23924543415,-7443.863209042014,-8.406100975252441,6,STOP_LOSS
2024-07-31,2024-08-01,TSLA,PULLBACK,3,513.0952392062895,232.07000732421875,216.86000061035156,119074.01592062537,111269.83388744443,-7804.182033180943,-6.554059651757445,1,RSI_SELL
2024-08-13,2024-08-27,META,TREND_FOLLOW,3,209.53318878025195,526.381103515625,516.9796142578125,110294.3111332968,108324.38710982406,-1969.924023472733,-1.786061314705498,14,TIME_EXIT
2024-08-14,2024-08-28,PLTR,TREND_FOLLOW,3,1956.8345523649434,31.0,30.360000610351562,60661.87112331325,59409.498204156705,-1252.3729191565435,-2.06451416015626,14,TIME_EXIT
2024-08-21,2024-08-29,NVDA,TREND_FOLLOW,3,259.73891131492786,128.45217895507812,117.54623413085938,33364.02911782228,30531.33088231903,-2832.6982355032524,-8.490276235822163,8,STOP_LOSS
2024-08-28,2024-09-03,META,PULLBACK,3,178.0860713018583,514.669189453125,509.6696472167969,91655.41396981884,90765.06513464346,-890.3488351753767,-0.9714088853153391,6,RSI_SELL
2024-08-30,2024-09-03,NET,TREND_FOLLOW,3,757.7003376423522,82.13999938964844,78.11000061035156,62237.505271479225,59183.973835707715,-3053.5314357715106,-4.906256159291804,4,RSI_SELL
2024-09-03,2024-09-05,PLTR,PULLBACK,3,3246.3315473633606,30.510000228881836,30.15999984741211,99045.57625308246,97909.35897312808,-1136.2172799543769,-1.1471661056836104,2,RSI_SELL
2024-09-04,2024-09-18,TSLA,TREND_FOLLOW,3,248.27977772192537,219.41000366210938,227.1999969482422,54475.06693919535,56409.16474073169,1934.0978015363435,3.550427581291765,14,TIME_EXIT
