date,equity,positions,cash,cummax,drawdown
2024-01-02,30000.0,0,30000.0,30000.0,0.0
2024-01-03,30000.0,0,30000.0,30000.0,0.0
2024-01-04,30000.0,0,30000.0,30000.0,0.0
2024-01-05,30000.0,0,30000.0,30000.0,0.0
2024-01-08,30000.0,0,30000.0,30000.0,0.0
2024-01-09,30000.0,0,30000.0,30000.0,0.0
2024-01-10,30000.0,0,30000.0,30000.0,0.0
2024-01-11,30000.0,0,30000.0,30000.0,0.0
2024-01-12,30000.0,0,30000.0,30000.0,0.0
2024-01-16,30000.0,0,30000.0,30000.0,0.0
2024-01-17,30000.0,0,30000.0,30000.0,0.0
2024-01-18,30000.0,0,30000.0,30000.0,0.0
2024-01-19,30000.0,0,30000.0,30000.0,0.0
2024-01-22,30000.0,1,20186.399856567383,30000.0,0.0
2024-01-23,30015.97982788086,1,20186.399856567383,30015.97982788086,0.0
2024-01-24,29954.409942626953,1,20186.399856567383,30015.97982788086,-0.20512368947128626
2024-01-25,28770.01008605957,1,19273.24983215332,30015.97982788086,-4.151021385828453
2024-01-26,28802.24983215332,1,19273.24983215332,30015.97982788086,-4.043612777884882
2024-01-29,29201.609451293945,1,19273.24983215332,30015.97982788086,-2.7131227474722386
2024-01-30,29235.929641723633,1,19273.24983215332,30015.97982788086,-2.5987830170137025
2024-01-31,29012.329483032227,1,19273.24983215332,30015.97982788086,-3.3437200804498644
2024-02-01,29093.9698638916,1,19273.24983215332,30015.97982788086,-3.0717303558847444
2024-02-02,29044.570022583008,1,19273.24983215332,30015.97982788086,-3.236308829057584
2024-02-05,28688.369705200195,1,19273.24983215332,30015.97982788086,-4.423011110393573
2024-02-06,28898.450149536133,1,19273.24983215332,30015.97982788086,-3.723115769509846
2024-02-07,29027.409927368164,1,19273.24983215332,30015.97982788086,-3.293478694286852
2024-02-08,29130.369705200195,1,19273.24983215332,30015.97982788086,-2.950462146359953
2024-02-09,29338.890213012695,1,19273.24983215332,30015.97982788086,-2.2557638256380947
2024-02-12,29056.01008605957,1,19273.24983215332,30015.97982788086,-3.198195585571405
2024-02-13,28842.29005432129,1,19273.24983215332,30015.97982788086,-3.9102164256832572
2024-02-14,29086.170181274414,1,19273.24983215332,30015.97982788086,-3.097715456694089
2024-02-15,29696.649673461914,2,9703.978801727295,30015.97982788086,-1.0638671675889455
2024-02-16,29549.716064453125,3,410.7592582702637,30015.97982788086,-1.5533851171989304
2024-02-20,29115.878147125244,3,410.7592582702637,30015.97982788086,-2.9987416233520396
2024-02-21,29149.779376983643,3,410.7592582702637,30015.97982788086,-2.885797684647401
2024-02-22,29288.464546203613,3,410.7592582702637,30015.97982788086,-2.423759896725014
2024-02-23,29331.9388961792,3,410.7592582702637,30015.97982788086,-2.2789225460042353
2024-02-26,29748.255451202393,3,410.7592582702637,30015.97982788086,-0.8919394876118166
2024-02-27,29612.030303955078,3,410.7592582702637,30015.97982788086,-1.3457815678253013
2024-02-28,29671.998050689697,3,410.7592582702637,30015.97982788086,-1.1459954969440935
2024-02-29,29867.963485717773,3,410.7592582702637,30015.97982788086,-0.4931251387156064
2024-03-01,30094.385944366455,3,410.7592582702637,30094.385944366455,0.0
2024-03-04,29431.943462371826,3,410.7592582702637,30094.385944366455,-2.2012161444969953
2024-03-05,28619.334941864014,3,410.7592582702637,30094.385944366455,-4.901415849551716
2024-03-06,28414.095703125,3,410.7592582702637,30094.385944366455,-5.583400984980052
2024-03-07,28691.301807403564,3,410.7592582702637,30094.385944366455,-4.662278670701843
2024-03-08,28562.26293182373,3,410.7592582702637,30094.385944366455,-5.091059227375702
2024-03-11,28977.469242095947,2,10206.289310455322,30094.385944366455,-3.7113789406943853
2024-03-12,29283.749210357666,2,10206.289310455322,30094.385944366455,-2.6936476973059387
2024-03-13,28769.598880767822,2,10206.289310455322,30094.385944366455,-4.4021069778518855
2024-03-14,28353.939517974854,2,9393.789310455322,30094.385944366455,-5.783292703194052
2024-03-15,27089.09958267212,1,17765.60916519165,30094.385944366455,-9.986202633441382
2024-03-18,27672.209339141846,1,17765.60916519165,30094.385944366455,-8.048599528504521
2024-03-19,27530.84958267212,1,17765.60916519165,30094.385944366455,-8.518320880291027
2024-03-20,27778.229373931885,1,17765.60916519165,30094.385944366455,-7.69630779214535
2024-03-21,27616.34958267212,1,17765.60916519165,30094.385944366455,-8.234214734519991
2024-03-22,27502.919269561768,1,17765.60916519165,30094.385944366455,-8.611129928337347
2024-03-25,27605.519443511963,1,17765.60916519165,30094.385944366455,-8.27020197539667
2024-03-26,27892.799060821533,1,17765.60916519165,30094.385944366455,-7.31560659723994
2024-03-27,28015.919269561768,1,17765.60916519165,30094.385944366455,-6.906493053711128
2024-03-28,27785.63878250122,1,17765.60916519165,30094.385944366455,-7.671687224764333
2024-04-01,27753.14923477173,1,17765.60916519165,30094.385944366455,-7.7796460573172
2024-04-02,27263.519443511963,1,17765.60916519165,30094.385944366455,-9.406626558480815
2024-04-03,27363.269443511963,1,17765.60916519165,30094.385944366455,-9.075169388414606
2024-04-04,27518.87919998169,2,8810.789066314697,30094.385944366455,-8.558097012332926
2024-04-05,27412.768619537354,2,8810.789066314697,30094.385944366455,-8.910689620936058
2024-04-08,27845.24849319458,2,8810.789066314697,30094.385944366455,-7.4736113749910364
2024-04-09,28115.06927871704,2,8810.789066314697,30094.385944366455,-6.577029580561799
2024-04-10,27626.66872024536,2,8810.789066314697,30094.385944366455,-8.199925490033268
2024-04-11,27969.989414215088,2,8810.789066314697,30094.385944366455,-7.059112400826526
2024-04-12,27377.759174346924,3,-196.20773696899414,30094.385944366455,-9.027021767586763
2024-04-15,26828.897647857666,3,-196.20773696899414,30094.385944366455,-10.850822151830863
2024-04-16,26736.74843597412,3,-196.20773696899414,30094.385944366455,-11.157022823457442
2024-04-17,25985.9958152771,3,-196.20773696899414,30094.385944366455,-13.651682864319845
2024-04-18,25567.080394744873,3,-196.20773696899414,30094.385944366455,-15.043688075214156
2024-04-19,24735.171871185303,3,-486.9707679748535,30094.385944366455,-17.808019353139105
2024-04-22,25187.879459381104,3,-486.9707679748535,30094.385944366455,-16.303726861400968
2024-04-23,25608.85400390625,3,-486.9707679748535,30094.385944366455,-14.90487943084241
2024-04-24,25396.141708374023,3,-486.9707679748535,30094.385944366455,-15.611696628991773
2024-04-25,25663.933589935303,3,-486.9707679748535,30094.385944366455,-14.721856636721025
2024-04-26,25555.958261489868,3,205.76489448547363,30094.385944366455,-15.080645577106921
2024-04-29,25348.68553352356,3,205.76489448547363,30094.385944366455,-15.769387750977756
2024-04-30,24782.066011428833,3,205.76489448547363,30094.385944366455,-17.652195804088393
2024-05-01,24782.501749038696,3,205.76489448547363,30094.385944366455,-17.650747900779553
2024-05-02,24893.018381118774,3,205.76489448547363,30094.385944366455,-17.283514516172925
2024-05-03,25231.244874954224,3,205.76489448547363,30094.385944366455,-16.159628837094086
2024-05-06,25572.787309646606,3,205.76489448547363,30094.385944366455,-15.024724688115038
2024-05-07,25396.69260597229,3,205.76489448547363,30094.385944366455,-15.609866062987585
2024-05-08,25317.42713356018,3,205.76489448547363,30094.385944366455,-15.8732556285984
2024-05-09,25278.212991714478,3,205.76489448547363,30094.385944366455,-16.00355947303701
2024-05-10,25309.523851394653,3,205.76489448547363,30094.385944366455,-15.899517278130434
2024-05-13,25485.054124832153,3,205.76489448547363,30094.385944366455,-15.316251436581146
2024-05-14,25677.62539100647,3,205.76489448547363,30094.385944366455,-14.676360439867306
2024-05-15,25933.46077156067,3,205.76489448547363,30094.385944366455,-13.826250452485786
2024-05-16,26128.65197944641,3,205.76489448547363,30094.385944366455,-13.177653706745303
2024-05-17,26062.225664138794,3,205.76489448547363,30094.385944366455,-13.398380308146693
2024-05-20,26286.341302871704,2,9055.39547920227,30094.385944366455,-12.65367118151019
2024-05-21,26371.862771987915,1,17919.163484573364,30094.385944366455,-12.369493696465938
2024-05-22,26286.643671035767,1,17919.163484573364,30094.385944366455,-12.652666448718428
2024-05-23,25929.787088394165,1,17919.163484573364,30094.385944366455,-13.838457656757358
2024-05-24,26100.225801467896,1,17919.163484573364,30094.385944366455,-13.272110453698257
2024-05-28,26190.771799087524,1,17919.163484573364,30094.385944366455,-12.971237068918068
2024-05-29,25943.10254096985,1,17919.163484573364,30094.385944366455,-13.794212020377541
2024-05-30,25959.08169746399,3,806.7375812530518,30094.385944366455,-13.741115218456809
2024-05-31,26764.96618080139,3,806.7375812530518,30094.385944366455,-11.063258674624384
