date,is_good,score,reasons
2025-05-22,True,0.75,['Failed bounces: 86%']
2025-05-23,True,0.75,['Failed bounces: 86%']
2025-05-27,True,0.75,['Failed bounces: 86%']
2025-05-28,True,0.75,['Failed bounces: 86%']
2025-05-29,True,0.75,['Failed bounces: 86%']
2025-05-30,True,0.75,['Failed bounces: 86%']
2025-06-02,True,0.75,['Failed bounces: 86%']
2025-06-03,True,0.75,['Failed bounces: 86%']
2025-06-04,True,0.75,['Failed bounces: 86%']
2025-06-05,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -14.1']"
2025-06-06,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -17.0']"
2025-06-09,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -19.8']"
2025-06-10,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -17.4']"
2025-06-11,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -18.4']"
2025-06-12,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -24.3']"
2025-06-13,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -16.8']"
2025-06-16,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -17.2']"
2025-06-17,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -15.0']"
2025-06-18,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -12.8']"
2025-06-20,True,0.75,['Failed bounces: 86%']
2025-06-23,True,0.75,['Failed bounces: 86%']
2025-06-24,True,0.75,['Failed bounces: 86%']
2025-06-25,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -10.0']"
2025-06-26,True,0.75,['Failed bounces: 86%']
2025-06-27,True,0.75,['Failed bounces: 86%']
2025-06-30,True,0.75,['Failed bounces: 86%']
2025-07-01,False,0.5,"['Failed bounces: 86%', 'Market RSI momentum: -11.6']"
2025-07-02,True,0.75,['Failed bounces: 86%']
2025-07-03,True,0.75,['Failed bounces: 86%']
2025-07-07,True,0.75,['Failed bounces: 86%']
2025-07-08,True,0.75,['Failed bounces: 86%']
2025-07-09,True,0.75,['Failed bounces: 86%']
2025-07-10,True,0.75,['Failed bounces: 86%']
2025-07-11,True,0.75,['Failed bounces: 86%']
2025-07-14,True,0.75,['Failed bounces: 86%']
2025-07-15,True,0.75,['Failed bounces: 86%']
2025-07-16,True,0.75,['Failed bounces: 86%']
2025-07-17,True,0.75,['Failed bounces: 86%']
2025-07-18,True,0.75,['Failed bounces: 86%']
2025-07-21,True,0.75,['Failed bounces: 86%']
2025-07-22,True,0.75,['Failed bounces: 86%']
2025-07-23,True,0.75,['Failed bounces: 86%']
2025-07-24,True,0.75,['Failed bounces: 86%']
2025-07-25,True,0.75,['Failed bounces: 86%']
2025-07-28,True,0.75,['Failed bounces: 86%']
2025-07-29,True,0.75,['Failed bounces: 86%']
2025-07-30,True,0.75,['Failed bounces: 86%']
2025-07-31,True,0.75,['Failed bounces: 86%']
2025-08-01,True,0.75,['Failed bounces: 86%']
2025-08-04,True,0.75,['Failed bounces: 75%']
2025-08-05,True,0.75,['Failed bounces: 75%']
2025-08-06,True,0.75,['Failed bounces: 75%']
2025-08-07,True,0.75,['Failed bounces: 75%']
2025-08-08,True,0.75,['Failed bounces: 75%']
2025-08-11,True,0.75,['Failed bounces: 75%']
2025-08-12,True,0.75,['Failed bounces: 75%']
2025-08-13,True,0.75,['Failed bounces: 75%']
2025-08-14,True,0.75,['Failed bounces: 75%']
2025-08-15,True,0.75,['Failed bounces: 75%']
2025-08-18,True,0.75,['Failed bounces: 75%']
2025-08-19,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -20.9']"
2025-08-20,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -23.0']"
2025-08-21,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -14.8']"
2025-08-22,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -19.3']"
2025-08-25,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -18.6']"
2025-08-26,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -13.3']"
2025-08-27,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -16.5']"
2025-08-28,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -20.4']"
2025-08-29,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -14.9']"
2025-09-02,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -24.2']"
2025-09-03,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -22.3']"
2025-09-04,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -17.5']"
2025-09-05,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -16.7']"
2025-09-08,False,0.5,"['Failed bounces: 75%', 'Market RSI momentum: -16.1']"
2025-09-09,True,0.75,['Failed bounces: 75%']
2025-09-10,True,0.75,['Failed bounces: 75%']
2025-09-11,True,0.75,['Failed bounces: 75%']
2025-09-12,True,0.75,['Failed bounces: 75%']
2025-09-15,True,0.75,['Failed bounces: 75%']
2025-09-16,True,0.75,['Failed bounces: 75%']
2025-09-17,True,0.75,['Failed bounces: 75%']
2025-09-18,True,0.75,['Failed bounces: 75%']
2025-09-19,True,0.75,['Failed bounces: 75%']
2025-09-22,True,0.75,['Failed bounces: 75%']
2025-09-23,True,0.75,['Failed bounces: 75%']
2025-09-24,True,0.75,['Failed bounces: 75%']
2025-09-25,True,0.75,['Failed bounces: 75%']
2025-09-26,True,0.75,['Failed bounces: 75%']
2025-09-29,True,0.75,['Failed bounces: 75%']
2025-09-30,True,0.75,['Failed bounces: 75%']
2025-10-01,True,0.75,['Failed bounces: 75%']
2025-10-02,True,0.75,['Failed bounces: 75%']
2025-10-03,True,0.75,['Failed bounces: 75%']
2025-10-06,True,0.75,['Failed bounces: 67%']
2025-10-07,True,0.75,['Failed bounces: 67%']
2025-10-08,True,0.75,['Failed bounces: 67%']
2025-10-09,True,0.75,['Failed bounces: 67%']
2025-10-10,True,0.75,['Failed bounces: 67%']
2025-10-13,True,0.75,['Failed bounces: 67%']
2025-10-14,True,0.75,['Failed bounces: 67%']
2025-10-15,True,0.75,['Failed bounces: 67%']
2025-10-16,True,0.75,['Failed bounces: 67%']
2025-10-17,False,0.5,"['Failed bounces: 67%', 'Market RSI momentum: -15.6']"
