date,equity,positions,cash,cummax,drawdown
2024-01-02,30000.0,0,30000.0,30000.0,0.0
2024-01-03,30000.0,0,30000.0,30000.0,0.0
2024-01-04,30000.0,0,30000.0,30000.0,0.0
2024-01-05,30000.0,0,30000.0,30000.0,0.0
2024-01-08,30000.0,0,30000.0,30000.0,0.0
2024-01-09,30000.0,0,30000.0,30000.0,0.0
2024-01-10,30000.0,0,30000.0,30000.0,0.0
2024-01-11,30000.0,0,30000.0,30000.0,0.0
2024-01-12,30000.0,0,30000.0,30000.0,0.0
2024-01-16,30000.0,0,30000.0,30000.0,0.0
2024-01-17,30000.0,0,30000.0,30000.0,0.0
2024-01-18,30000.0,0,30000.0,30000.0,0.0
2024-01-19,30000.0,0,30000.0,30000.0,0.0
2024-01-22,30000.0,1,20186.399856567383,30000.0,0.0
2024-01-23,30015.97982788086,1,20186.399856567383,30015.97982788086,0.0
2024-01-24,29954.409942626953,1,20186.399856567383,30015.97982788086,-0.20512368947128626
2024-01-25,28770.01008605957,1,19273.24983215332,30015.97982788086,-4.151021385828453
2024-01-26,28802.24983215332,1,19273.24983215332,30015.97982788086,-4.043612777884882
2024-01-29,29201.609451293945,1,19273.24983215332,30015.97982788086,-2.7131227474722386
2024-01-30,29235.929641723633,1,19273.24983215332,30015.97982788086,-2.5987830170137025
2024-01-31,29012.329483032227,1,19273.24983215332,30015.97982788086,-3.3437200804498644
2024-02-01,29093.9698638916,1,19273.24983215332,30015.97982788086,-3.0717303558847444
2024-02-02,29044.570022583008,1,19273.24983215332,30015.97982788086,-3.236308829057584
2024-02-05,28688.369705200195,1,19273.24983215332,30015.97982788086,-4.423011110393573
2024-02-06,28898.450149536133,1,19273.24983215332,30015.97982788086,-3.723115769509846
2024-02-07,29027.409927368164,1,19273.24983215332,30015.97982788086,-3.293478694286852
2024-02-08,29130.369705200195,2,9683.28337097168,30015.97982788086,-2.950462146359953
2024-02-09,29521.664031982422,2,9683.28337097168,30015.97982788086,-1.6468421112119875
2024-02-12,29401.248168945312,2,9683.28337097168,30015.97982788086,-2.048014632407711
2024-02-13,28991.21664428711,3,129.8083953857422,30015.97982788086,-3.4140587429429208
2024-02-14,29421.560943603516,3,129.8083953857422,30015.97982788086,-1.9803414304176987
2024-02-15,29985.479263305664,3,129.8083953857422,30015.97982788086,-0.10161442255123165
2024-02-16,29757.60414123535,3,129.8083953857422,30015.97982788086,-0.8607937776047915
2024-02-20,29624.90510559082,3,129.8083953857422,30015.97982788086,-1.3028884098822007
2024-02-21,29479.734786987305,3,129.8083953857422,30015.97982788086,-1.7865318539275346
2024-02-22,29612.28855895996,3,129.8083953857422,30015.97982788086,-1.3449211761060782
2024-02-23,29236.150588989258,3,129.8083953857422,30015.97982788086,-2.5980469182193535
2024-02-26,29552.295608520508,3,129.8083953857422,30015.97982788086,-1.5447912146104605
2024-02-27,29586.681686401367,3,129.8083953857422,30015.97982788086,-1.4302319762379745
2024-02-28,29477.352111816406,3,129.8083953857422,30015.97982788086,-1.794469876222863
2024-02-29,29673.625289916992,3,129.8083953857422,30015.97982788086,-1.1405742538708175
2024-03-01,29830.617401123047,3,129.8083953857422,30015.97982788086,-0.6175458133325217
2024-03-04,29245.0947265625,3,129.8083953857422,30015.97982788086,-2.5682489984961596
2024-03-05,28050.34799194336,3,-376.91273498535156,30015.97982788086,-6.5486179268806985
2024-03-06,28081.960861206055,3,-376.91273498535156,30015.97982788086,-6.443297795923883
2024-03-07,28555.19061279297,3,-376.91273498535156,30015.97982788086,-4.866705079975472
2024-03-08,27992.400588989258,3,-376.91273498535156,30015.97982788086,-6.741673103777759
2024-03-11,28423.126068115234,3,-376.91273498535156,30015.97982788086,-5.306685868325629
2024-03-12,28523.121704101562,3,-376.91273498535156,30015.97982788086,-4.973544533077777
2024-03-13,27535.776580810547,3,-376.91273498535156,30015.97982788086,-8.262942810104548
2024-03-14,27166.623794555664,3,-864.4127349853516,30015.97982788086,-9.492797002343805
2024-03-15,27179.901489257812,3,-864.4127349853516,30015.97982788086,-9.448561582483164
2024-03-18,27818.415771484375,3,-864.4127349853516,30015.97982788086,-7.3213137435388305
2024-03-19,27661.96209716797,3,-864.4127349853516,30015.97982788086,-7.842548349950318
2024-03-20,28075.94515991211,3,-864.4127349853516,30015.97982788086,-6.463339458159935
2024-03-21,27570.750564575195,3,-864.4127349853516,30015.97982788086,-8.146424928745358
2024-03-22,27544.84017944336,3,-864.4127349853516,30015.97982788086,-8.232746898843994
2024-03-25,27398.77308654785,3,-864.4127349853516,30015.97982788086,-8.719377999121555
2024-03-26,27649.82258605957,3,-864.4127349853516,30015.97982788086,-7.8829918443090214
2024-03-27,28366.86166381836,3,-864.4127349853516,30015.97982788086,-5.494134036333167
2024-03-28,28134.98617553711,3,-864.4127349853516,30015.97982788086,-6.266640846408608
2024-04-01,28103.432647705078,3,-864.4127349853516,30015.97982788086,-6.371763277903322
2024-04-02,27435.123580932617,3,-864.4127349853516,30015.97982788086,-8.598274191772243
2024-04-03,26761.023544311523,3,-864.4127349853516,30015.97982788086,-10.844078061865945
2024-04-04,26730.46078491211,3,-864.4127349853516,30015.97982788086,-10.94589969012752
2024-04-05,26200.25259399414,3,-821.0662231445312,30015.97982788086,-12.712319423743798
2024-04-08,26556.426162719727,3,-821.0662231445312,30015.97982788086,-11.525706257130633
2024-04-09,26882.42694091797,3,-821.0662231445312,30015.97982788086,-10.439615514574127
2024-04-10,26311.978317260742,3,-821.0662231445312,30015.97982788086,-12.340098613671081
2024-04-11,27035.99200439453,3,-821.0662231445312,30015.97982788086,-9.928004484858812
2024-04-12,26554.97981262207,3,-821.0662231445312,30015.97982788086,-11.5305248574427
2024-04-15,25666.8846282959,3,-821.0662231445312,30015.97982788086,-14.489266132652546
2024-04-16,25405.922454833984,3,-821.0662231445312,30015.97982788086,-15.35867694302201
2024-04-17,24757.823165893555,3,-1370.2212677001953,30015.97982788086,-17.517857794877564
2024-04-18,24251.052841186523,3,-1370.2212677001953,30015.97982788086,-19.206192900421275
2024-04-19,23783.397254943848,3,-1187.8109130859375,30015.97982788086,-20.764214957086857
2024-04-22,23910.52085876465,3,-1187.8109130859375,30015.97982788086,-20.3406952034431
2024-04-23,24039.954277038574,3,-1187.8109130859375,30015.97982788086,-19.909480167265276
2024-04-24,24279.282371520996,3,-1187.8109130859375,30015.97982788086,-19.112144561848464
2024-04-25,24407.913543701172,3,-1187.8109130859375,30015.97982788086,-18.68360225565763
2024-04-26,23684.930110931396,3,-1496.3942909240723,30015.97982788086,-21.09226403153682
2024-04-29,23851.986003875732,3,-1496.3942909240723,30015.97982788086,-20.535707510969193
2024-04-30,23447.264720916748,3,-1496.3942909240723,30015.97982788086,-21.8840602393484
2024-05-01,23419.74367904663,3,-1496.3942909240723,30015.97982788086,-21.975748206984072
2024-05-02,23757.65464401245,3,-1496.3942909240723,30015.97982788086,-20.849977977581315
2024-05-03,24533.92551803589,3,-1496.3942909240723,30015.97982788086,-18.263785960946276
2024-05-06,24704.351329803467,3,-1496.3942909240723,30015.97982788086,-17.69600235786271
2024-05-07,24708.83338546753,3,415.6138725280762,30015.97982788086,-17.681070126132266
2024-05-08,24530.654750823975,3,415.6138725280762,30015.97982788086,-18.27468271404469
2024-05-09,24369.02250289917,3,415.6138725280762,30015.97982788086,-18.813170042633146
2024-05-10,24341.513668060303,3,415.6138725280762,30015.97982788086,-18.90481734182714
2024-05-13,24547.963176727295,3,415.6138725280762,30015.97982788086,-18.2170186764135
2024-05-14,24558.457363128662,3,415.6138725280762,30015.97982788086,-18.182056677966195
2024-05-15,24818.487621307373,3,415.6138725280762,30015.97982788086,-17.315750598105435
2024-05-16,25009.41396713257,3,415.6138725280762,30015.97982788086,-16.679668261563315
2024-05-17,24969.13135910034,3,415.6138725280762,30015.97982788086,-16.813872136509985
2024-05-20,25103.425563812256,3,415.6138725280762,30015.97982788086,-16.36646310478092
2024-05-21,25128.407955169678,2,8610.418254852295,30015.97982788086,-16.283232800454098
2024-05-22,25079.820552825928,2,8610.418254852295,30015.97982788086,-16.445104585491144
2024-05-23,24717.750270843506,2,8610.418254852295,30015.97982788086,-17.651362998705117
2024-05-24,24751.685039520264,3,476.6682548522949,30015.97982788086,-17.53830732345697
2024-05-28,24954.879329681396,3,476.6682548522949,30015.97982788086,-16.861353609714158
2024-05-29,24690.94732284546,3,476.6682548522949,30015.97982788086,-17.740658594423603
