symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days
TSLA,2024-01-22,208.8000030517578,2024-01-25,182.6300048828125,47,-1229.9899139404297,-12.533523844086455,Stop Loss,3
AAPL,2024-02-13,183.72067260742188,2024-03-05,168.90704345703125,52,-770.3087158203125,-8.06312590747188,Stop Loss,21
TSLA,2024-01-25,182.6300048828125,2024-03-14,162.5,52,-1046.76025390625,-11.022287874179954,Stop Loss,49
INTC,2024-02-08,42.061256408691406,2024-04-05,38.31037902832031,228,-855.2000427246094,-8.917654156417505,Stop Loss,57
AMD,2024-04-05,170.4199981689453,2024-04-17,154.02000427246094,51,-836.3996887207031,-9.62328017409453,Stop Loss,12
TSLA,2024-03-14,162.5,2024-04-19,147.0500030517578,55,-849.7498321533203,-9.5076904296875,Stop Loss,36
INTC,2024-04-17,35.31166076660156,2024-04-26,31.55088996887207,238,-895.0634498596191,-10.650223512813366,Stop Loss,9
AAPL,2024-03-05,168.90704345703125,2024-05-07,181.0994873046875,55,670.5844116210938,7.218434233477019,RSI Exit,63
IBM,2024-04-26,159.5447998046875,2024-05-21,167.24090576171875,49,377.10919189453125,4.823789911330683,RSI Exit,25
ADBE,2024-04-19,465.0199890136719,2024-06-20,522.9500122070312,17,984.8103942871094,12.457533990362766,RSI Exit,62
AMZN,2024-05-24,180.75,2024-06-21,189.0800018310547,45,374.85008239746094,4.608576393391252,RSI Exit,28
INTC,2024-05-07,30.486604690551758,2024-07-08,33.77574157714844,264,868.3321380615234,10.78879370130722,RSI Exit,62
AMZN,2024-07-18,183.75,2024-08-02,167.89999389648438,48,-760.80029296875,-8.62585366177721,Stop Loss,15
INTC,2024-08-02,21.3445987701416,2024-08-07,18.989999771118164,406,-955.9671936035156,-11.031357508191835,Stop Loss,5
NFLX,2024-07-18,643.0399780273438,2024-08-16,674.0700073242188,13,403.390380859375,4.825521018470102,RSI Exit,29
