date,equity,cash,positions,peak,drawdown
2021-01-05,9461.148627500006,9461.148627500006,0,10074.818123832021,-6.091122328852543
2021-01-06,9461.148627500006,8019.498618344733,1,10074.818123832021,-6.091122328852543
2021-01-07,9586.13893845162,6677.898581723639,2,10074.818123832021,-4.850501313015549
2021-01-08,9754.337919562993,6677.898581723639,2,10074.818123832021,-3.181002379694884
2021-01-11,9494.212041511313,6677.898581723639,2,10074.818123832021,-5.762943560710859
2021-01-12,9526.08464113091,6677.898581723639,2,10074.818123832021,-5.446584503625726
2021-01-13,9398.871045810984,6677.898581723639,2,10074.818123832021,-6.709273256477774
2021-01-14,9783.934132760092,6677.898581723639,2,10074.818123832021,-2.88723813667506
2021-01-15,9448.092809786482,6677.898581723639,2,10074.818123832021,-6.220710948250455
2021-01-19,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-20,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-21,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-22,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-25,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-26,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-27,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-28,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-01-29,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-01,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-02,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-03,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-04,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-05,9400.489972692416,9400.489972692416,0,10074.818123832021,-6.6932042132302065
2021-02-08,9400.489972692416,8359.489987951205,1,10074.818123832021,-6.6932042132302065
2021-02-09,9578.975504142916,7163.689969640658,2,10074.818123832021,-4.921603681521431
2021-02-10,9181.424162200019,7163.689969640658,2,10074.818123832021,-8.867593942154404
2021-02-11,9432.376261113894,7163.689969640658,2,10074.818123832021,-6.376709284690994
2021-02-12,9582.038975810396,7163.689969640658,2,10074.818123832021,-4.891196465928795
2021-02-16,9568.484807229488,7163.689969640658,2,10074.818123832021,-5.025731585216409
2021-02-17,9944.155167666293,7519.768634782575,2,10074.818123832021,-1.2969262031306006
2021-02-18,9666.090512886085,8362.779336409949,1,10074.818123832021,-4.056922972922851
2021-02-19,9692.953424232508,8362.779336409949,1,10074.818123832021,-3.7902887665655296
2021-02-22,9702.445635268592,8362.779336409949,1,10074.818123832021,-3.6960715715808377
2021-02-23,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-02-24,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
