date,equity,positions,cummax,drawdown
2024-02-13,100000.0,0,100000.0,0.0
2024-02-14,100000.0,0,100000.0,0.0
2024-02-15,100000.0,0,100000.0,0.0
2024-02-16,100000.0,0,100000.0,0.0
2024-02-20,100000.0,0,100000.0,0.0
2024-02-21,100000.0,0,100000.0,0.0
2024-02-22,100000.0,0,100000.0,0.0
2024-02-23,100000.0,0,100000.0,0.0
2024-02-26,100000.0,0,100000.0,0.0
2024-02-27,100000.0,0,100000.0,0.0
2024-02-28,100000.0,0,100000.0,0.0
2024-02-29,100000.0,0,100000.0,0.0
2024-03-01,100000.0,0,100000.0,0.0
2024-03-04,100000.0,0,100000.0,0.0
2024-03-05,100000.0,0,100000.0,0.0
2024-03-06,100000.0,0,100000.0,0.0
2024-03-07,100000.0,0,100000.0,0.0
2024-03-08,100000.0,0,100000.0,0.0
2024-03-11,100000.0,0,100000.0,0.0
2024-03-12,100000.0,0,100000.0,0.0
2024-03-13,100000.0,0,100000.0,0.0
2024-03-14,100000.0,0,100000.0,0.0
2024-03-15,100000.0,0,100000.0,0.0
2024-03-18,100000.0,0,100000.0,0.0
2024-03-19,100000.0,0,100000.0,0.0
2024-03-20,100000.0,0,100000.0,0.0
2024-03-21,100000.0,0,100000.0,0.0
2024-03-22,100000.0,0,100000.0,0.0
2024-03-25,100000.0,0,100000.0,0.0
2024-03-26,100000.0,0,100000.0,0.0
2024-03-27,100000.0,0,100000.0,0.0
2024-03-28,100000.0,0,100000.0,0.0
2024-04-01,100000.0,0,100000.0,0.0
2024-04-02,100000.0,0,100000.0,0.0
2024-04-03,100000.0,0,100000.0,0.0
2024-04-04,100000.0,0,100000.0,0.0
2024-04-05,100000.0,0,100000.0,0.0
2024-04-08,100000.0,0,100000.0,0.0
2024-04-09,100000.0,0,100000.0,0.0
2024-04-10,100000.0,0,100000.0,0.0
2024-04-11,100000.0,0,100000.0,0.0
2024-04-12,100000.0,0,100000.0,0.0
2024-04-15,100000.0,0,100000.0,0.0
2024-04-16,100000.0,0,100000.0,0.0
2024-04-17,100000.0,0,100000.0,0.0
2024-04-18,100000.0,0,100000.0,0.0
2024-04-19,100000.0,0,100000.0,0.0
2024-04-22,100000.0,0,100000.0,0.0
2024-04-23,100000.0,0,100000.0,0.0
2024-04-24,100000.0,0,100000.0,0.0
2024-04-25,100000.0,0,100000.0,0.0
2024-04-26,100000.0,0,100000.0,0.0
2024-04-29,100000.0,0,100000.0,0.0
2024-04-30,100000.0,0,100000.0,0.0
2024-05-01,100000.0,0,100000.0,0.0
2024-05-02,100000.0,0,100000.0,0.0
2024-05-03,100000.0,0,100000.0,0.0
2024-05-06,102216.59088221888,1,102216.59088221888,0.0
2024-05-07,97901.37124458965,1,102216.59088221888,-4.221643081993926
2024-05-08,95982.80739819248,1,102216.59088221888,-6.098602418867011
2024-05-09,93135.87310446936,2,102216.59088221888,-8.883800270949129
2024-05-10,91736.75343458395,2,102216.59088221888,-10.252579700794884
2024-05-13,94216.78218670186,2,102216.59088221888,-7.8263309571094535
2024-05-14,98385.98046087455,2,102216.59088221888,-3.747542730864728
2024-05-15,98416.20883271689,2,102216.59088221888,-3.7179698683954903
2024-05-16,98758.5077642728,2,102216.59088221888,-3.383093769905441
2024-05-17,99098.64645164271,2,102216.59088221888,-3.050331070196702
2024-05-20,100673.38207647792,1,102216.59088221888,-1.5097439588052293
2024-05-21,100264.28801113392,2,102216.59088221888,-1.9099667228527917
2024-05-22,100390.14571726529,2,102216.59088221888,-1.7868382707638426
2024-05-23,103518.15626866149,3,103518.15626866149,0.0
2024-05-24,108593.6461448798,2,108593.6461448798,0.0
2024-05-28,117168.64052128169,2,117168.64052128169,0.0
2024-05-29,114721.09662097524,2,117168.64052128169,-2.0889069715389406
2024-05-30,112032.28288767811,2,117168.64052128169,-4.383730672944562
2024-05-31,111408.07594589377,2,117168.64052128169,-4.916472999737173
2024-06-03,114077.69219026517,2,117168.64052128169,-2.6380337923739114
2024-06-04,114581.71011342005,2,117168.64052128169,-2.207869269757183
2024-06-05,119514.91187145734,2,119514.91187145734,0.0
2024-06-06,119792.98713627743,3,119792.98713627743,0.0
2024-06-07,119868.8977954833,3,119868.8977954833,0.0
2024-06-10,116510.14499750307,3,119868.8977954833,-2.8020219254129026
2024-06-11,114447.3930255479,2,119868.8977954833,-4.522861951384084
2024-06-12,117701.76067498785,2,119868.8977954833,-1.8079227892734548
2024-06-13,119563.1808269145,2,119868.8977954833,-0.2550427793958727
2024-06-14,122501.23357127978,2,122501.23357127978,0.0
2024-06-17,126909.60523023093,2,126909.60523023093,0.0
2024-06-18,133545.6276351686,2,133545.6276351686,0.0
2024-06-20,128662.82832182707,2,133545.6276351686,-3.6562779327233335
2024-06-21,119775.95476901357,3,133545.6276351686,-10.310837659000125
2024-06-24,114327.53556770638,3,133545.6276351686,-14.390656143354885
2024-06-25,121528.84881880066,3,133545.6276351686,-8.99825702208418
2024-06-26,124423.87672568204,2,133545.6276351686,-6.830437709579042
2024-06-27,123430.98092718399,2,133545.6276351686,-7.5739257713600905
2024-06-28,123325.36773465187,2,133545.6276351686,-7.653009747677644
2024-07-01,127359.77047319675,2,133545.6276351686,-4.63201773918867
2024-07-02,132942.15779298532,2,133545.6276351686,-0.4518828904169726
2024-07-03,143704.05656912422,2,143704.05656912422,0.0
2024-07-05,144986.82459169652,2,144986.82459169652,0.0
2024-07-08,146999.12129306066,2,146999.12129306066,0.0
2024-07-09,154263.2571083862,2,154263.2571083862,0.0
2024-07-10,157488.00824966133,2,157488.00824966133,0.0
2024-07-11,140305.15618687466,2,157488.00824966133,-10.910578052106148
2024-07-12,145408.8311205495,2,157488.00824966133,-7.669902783939621
2024-07-15,147033.24088531086,2,157488.00824966133,-6.63845297209983
2024-07-16,147410.46060757714,2,157488.00824966133,-6.398930149721961
2024-07-17,137039.92362534083,2,157488.00824966133,-12.98389944198464
2024-07-18,137473.4859512559,3,157488.00824966133,-12.708600814023235
2024-07-19,132464.8428079953,2,157488.00824966133,-15.888933843139034
2024-07-22,137902.69541017548,2,157488.00824966133,-12.436066121579112
2024-07-23,136735.499032981,2,157488.00824966133,-13.177199614958598
2024-07-24,114129.97401129287,2,157488.00824966133,-27.531006786011403
2024-07-25,109347.1527011504,2,157488.00824966133,-30.567949956033853
2024-07-26,115484.96370063108,2,157488.00824966133,-26.67063036472212
2024-07-29,111964.03145149743,2,157488.00824966133,-28.90631312448629
2024-07-30,105843.56970722254,2,157488.00824966133,-32.79261647691188
2024-07-31,105843.56970722254,0,157488.00824966133,-32.79261647691188
2024-08-01,98039.3876740416,1,157488.00824966133,-37.748029984211556
2024-08-02,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-05,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-06,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-07,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-08,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-09,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-12,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-13,98039.3876740416,0,157488.00824966133,-37.748029984211556
2024-08-14,97667.95991514604,1,157488.00824966133,-37.98387508951427
