symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days
TSLA,2025-02-07,361.6199951171875,2025-02-11,328.5,27,-894.2398681640625,-9.1587842388125,Stop Loss,4
AMD,2025-01-28,114.16999816894531,2025-02-25,103.95999908447266,87,-888.2699203491211,-8.942803931173064,Stop Loss,28
COIN,2025-02-21,235.3800048828125,2025-02-25,212.49000549316406,41,-938.4899749755859,-9.724700023285568,Stop Loss,4
TSLA,2025-02-11,328.5,2025-02-26,290.79998779296875,29,-1093.3003540039062,-11.476411630755328,Stop Loss,15
TSLA,2025-02-26,290.79998779296875,2025-03-06,263.45001220703125,30,-820.499267578125,-9.405081407846879,Stop Loss,8
COIN,2025-02-25,212.49000549316406,2025-03-10,179.22999572753906,42,-1396.92041015625,-15.652505485343873,Stop Loss,13
NET,2025-03-06,131.02000427246094,2025-03-10,116.61000061035156,64,-922.240234375,-10.998323303472986,Stop Loss,4
TSLA,2025-03-10,222.14999389648438,2025-03-24,278.3900146484375,34,1912.1607055664062,25.31623781099872,Take Profit,14
AMD,2025-02-25,103.95999908447266,2025-04-03,93.80000305175781,87,-883.9196548461914,-9.772985881290113,Stop Loss,37
NET,2025-03-10,116.61000061035156,2025-04-04,97.08000183105469,65,-1269.4499206542969,-16.748133673848194,Stop Loss,25
AMD,2025-04-04,85.76000213623047,2025-04-08,78.20999908447266,88,-664.4002685546875,-8.803641398894289,Stop Loss,4
AMD,2025-04-08,78.20999908447266,2025-04-09,96.83999633789062,94,1751.219741821289,23.820480081192912,Take Profit,1
META,2025-04-03,530.8529663085938,2025-04-21,483.9607238769531,15,-703.3836364746094,-8.833376736635088,Stop Loss,18
NVDA,2025-04-03,101.78720092773438,2025-05-08,117.35523986816406,78,1214.3070373535156,15.294692062003445,Take Profit,35
TSLA,2025-06-05,284.70001220703125,2025-06-16,329.1300048828125,28,1244.039794921875,15.605897706626076,Take Profit,11
COIN,2025-08-01,314.69000244140625,2025-09-18,343.1300048828125,27,767.8800659179688,9.03746614788045,RSI Exit,48
PLTR,2025-08-27,156.72000122070312,2025-09-18,176.97000122070312,54,1093.5,12.921133130596813,RSI Exit,22
META,2025-09-02,734.6141357421875,2025-09-19,777.85498046875,11,475.6492919921875,5.886198294139259,RSI Exit,17
META,2025-10-03,710.5599975585938,2025-10-17,716.9199829101562,13,82.6798095703125,0.8950666197667632,End of Backtest,14
