symbol,strategy,entry_date,entry_price,exit_date,exit_price,pnl,pnl_pct,days_held,exit_reason
LINK-USD,TREND_FOLLOW,2020-01-30,2.9129879474639893,2020-02-11,3.9755589962005615,809.1057875919842,36.47701493793111,12,TAKE_PROFIT
ETH-USD,TREND_FOLLOW,2020-01-30,184.6904754638672,2020-02-12,265.4061279296875,1491.3717848622855,43.703202486806916,13,TAKE_PROFIT
BTC-USD,TREND_FOLLOW,2020-01-30,9508.9931640625,2020-02-13,10214.3798828125,389.4503034699155,7.418101018474596,14,TIME_EXIT
BTC-USD,TREND_FOLLOW,2020-02-13,10214.3798828125,2020-02-25,9341.705078125,-431.034774920935,-8.54359065062706,12,RSI_SELL
MATIC-USD,PULLBACK,2020-02-24,0.020729999989271164,2020-02-25,0.019128000363707542,-253.42435082836346,-7.727928733201825,1,RSI_SELL
ETH-USD,TREND_FOLLOW,2020-02-12,265.4061279296875,2020-02-26,225.68026733398438,-691.5568893291097,-14.967951533593627,14,STOP_LOSS
LINK-USD,PULLBACK,2020-02-27,3.9485950469970703,2020-03-01,3.879533052444458,-103.88877252575367,-1.7490270268442534,3,RSI_SELL
MATIC-USD,TREND_FOLLOW,2020-03-06,0.02484400011599064,2020-03-08,0.02149300090968609,-515.9789322810439,-13.488162899128739,2,STOP_LOSS
LINK-USD,PULLBACK,2020-03-02,4.2150068283081055,2020-03-12,2.064779043197632,-3002.285560022036,-51.013625189631554,10,STOP_LOSS
BTC-USD,TREND_FOLLOW,2020-04-05,6791.12939453125,2020-04-19,7189.4248046875,236.83628783858785,5.86493625753897,14,TIME_EXIT
BTC-USD,TREND_FOLLOW,2020-04-19,7189.4248046875,2020-04-20,6881.95849609375,-113.18928592524753,-4.276646838190479,1,RSI_SELL
ETH-USD,TREND_FOLLOW,2020-04-07,165.10194396972656,2020-04-21,172.73770141601562,121.39428545284318,4.62487434290245,14,TIME_EXIT
LINK-USD,TREND_FOLLOW,2020-04-13,3.369805097579956,2020-04-27,3.6418991088867188,137.76086547224963,8.074473253725223,14,TIME_EXIT
ETH-USD,PULLBACK,2020-04-21,172.73770141601562,2020-05-05,206.77439880371094,703.378295819055,19.70426670534563,14,TIME_EXIT
BTC-USD,PULLBACK,2020-04-22,7117.20751953125,2020-05-06,9268.76171875,701.4305939787473,30.230314253369624,14,TAKE_PROFIT
MATIC-USD,TREND_FOLLOW,2020-05-05,0.016995999962091446,2020-05-11,0.015080999583005905,-427.7446668791854,-11.267359280753316,6,STOP_LOSS
MATIC-USD,PULLBACK,2020-05-11,0.015080999583005905,2020-05-14,0.019933000206947327,851.1052419882685,32.172937856247415,3,TAKE_PROFIT
