date,equity,positions,cash,cummax,drawdown
2025-01-02,30000.0,0,30000.0,30000.0,0.0
2025-01-03,30000.0,0,30000.0,30000.0,0.0
2025-01-06,30000.0,0,30000.0,30000.0,0.0
2025-01-07,30000.0,0,30000.0,30000.0,0.0
2025-01-08,30000.0,0,30000.0,30000.0,0.0
2025-01-10,30000.0,0,30000.0,30000.0,0.0
2025-01-13,30000.0,0,30000.0,30000.0,0.0
2025-01-14,30000.0,0,30000.0,30000.0,0.0
2025-01-15,30000.0,0,30000.0,30000.0,0.0
2025-01-16,30000.0,0,30000.0,30000.0,0.0
2025-01-17,30000.0,0,30000.0,30000.0,0.0
2025-01-21,30000.0,0,30000.0,30000.0,0.0
2025-01-22,30000.0,0,30000.0,30000.0,0.0
2025-01-23,30000.0,0,30000.0,30000.0,0.0
2025-01-24,30000.0,0,30000.0,30000.0,0.0
2025-01-27,30000.0,0,30000.0,30000.0,0.0
2025-01-28,30000.0,1,20067.210159301758,30000.0,0.0
2025-01-29,30276.660026550293,1,20067.210159301758,30276.660026550293,0.0
2025-01-30,30408.030212402344,1,20067.210159301758,30408.030212402344,0.0
2025-01-31,30154.859893798828,1,20067.210159301758,30408.030212402344,-0.8325771739737898
2025-02-03,30008.699867248535,1,20067.210159301758,30408.030212402344,-1.3132397671419573
2025-02-04,30463.710159301758,1,20067.210159301758,30463.710159301758,0.0
2025-02-05,29812.08034515381,1,20067.210159301758,30463.710159301758,-2.139036285273287
2025-02-06,29651.130477905273,1,20067.210159301758,30463.710159301758,-2.667369395084571
2025-02-07,29424.929946899414,2,10303.470291137695,30463.710159301758,-3.4098939589771655
2025-02-10,29384.940879821777,2,10303.470291137695,30463.710159301758,-3.5411618408882157
2025-02-11,28838.67015838623,2,9646.470291137695,30463.710159301758,-5.33434697355581
2025-02-12,29124.900680541992,2,9646.470291137695,30463.710159301758,-4.394768305497992
2025-02-13,29696.200149536133,2,9646.470291137695,30463.710159301758,-2.519423949847666
2025-02-14,29805.53005218506,2,9646.470291137695,30463.710159301758,-2.160538239350768
2025-02-18,29858.019760131836,2,9646.470291137695,30463.710159301758,-1.9882358255203558
2025-02-19,30080.740432739258,2,9646.470291137695,30463.710159301758,-1.2571342248198367
2025-02-20,29856.859954833984,2,9646.470291137695,30463.710159301758,-1.992042995729719
2025-02-21,29085.749618530273,3,-4.1099090576171875,30463.710159301758,-4.5232853567927584
2025-02-24,28296.700408935547,3,-4.1099090576171875,30463.710159301758,-7.113413760288612
2025-02-25,26533.699882507324,3,-216.59991455078125,30463.710159301758,-12.90062916251338
2025-02-26,26273.299827575684,3,-507.39990234375,30463.710159301758,-13.755416887219098
2025-02-27,25360.010444641113,3,-507.39990234375,30463.710159301758,-16.753375370144422
2025-02-28,26025.860275268555,3,-507.39990234375,30463.710159301758,-14.567660540448502
2025-03-03,25219.610206604004,3,-507.39990234375,30463.710159301758,-17.214252385133484
2025-03-04,25346.150482177734,3,-507.39990234375,30463.710159301758,-16.798872003321737
2025-03-05,26053.789993286133,3,-507.39990234375,30463.710159301758,-14.475978608498888
2025-03-06,24991.190254211426,3,-989.1798095703125,30463.710159301758,-17.96406240892283
2025-03-07,24982.689849853516,3,-989.1798095703125,30463.710159301758,-17.991965787445864
2025-03-10,22408.32981109619,3,-1131.2297821044922,30463.710159301758,-26.44254526478268
2025-03-11,22931.160446166992,3,-1131.2297821044922,30463.710159301758,-24.726304424987397
2025-03-12,23833.560272216797,3,-1131.2297821044922,30463.710159301758,-21.76409193894762
2025-03-13,22977.9598236084,3,-1131.2297821044922,30463.710159301758,-24.572681057391392
2025-03-14,23702.230278015137,3,-1131.2297821044922,30463.710159301758,-22.19519502361756
2025-03-17,23601.73949432373,3,-1131.2297821044922,30463.710159301758,-22.525065492992162
2025-03-18,23017.480499267578,3,-1131.2297821044922,30463.710159301758,-24.442950714460352
2025-03-19,23772.72064971924,3,-1131.2297821044922,30463.710159301758,-21.96380373432453
2025-03-20,23888.89013671875,3,-1131.2297821044922,30463.710159301758,-21.58246644352168
2025-03-21,24334.49073791504,3,-1131.2297821044922,30463.710159301758,-20.119740469350642
2025-03-24,26294.430603027344,2,8334.030715942383,30463.710159301758,-13.68605312508651
2025-03-25,26610.00050354004,2,8334.030715942383,30463.710159301758,-12.65016518214552
2025-03-26,25795.311027526855,2,8334.030715942383,30463.710159301758,-15.324460176921223
2025-03-27,25319.630828857422,2,8334.030715942383,30463.710159301758,-16.885925264994842
2025-03-28,24783.970703125,2,8334.030715942383,30463.710159301758,-18.644280117149524
2025-03-31,24597.26068878174,2,8334.030715942383,30463.710159301758,-19.257173337860042
2025-04-01,24793.79084777832,2,8334.030715942383,30463.710159301758,-18.612044566712733
2025-04-02,25062.30083465576,2,8334.030715942383,30463.710159301758,-17.73063522598128
2025-04-03,23474.98094177246,3,592.434814453125,30463.710159301758,-22.941162389556695
2025-04-04,21817.915924072266,3,-644.2452545166016,30463.710159301758,-28.380634499273537
2025-04-07,22063.612854003906,3,-644.2452545166016,30463.710159301758,-27.574111168245132
2025-04-08,21394.392868041992,3,-1113.5052490234375,30463.710159301758,-29.770888850485434
2025-04-09,25679.945190429688,2,7989.454406738281,30463.710159301758,-15.703159411170411
