date,equity,peak,dd
2020-01-30,10000.0,10000.0,0.0
2020-01-31,9760.88497035626,10000.0,-2.3911502964374085
2020-02-01,9860.733262755411,10000.0,-1.3926673724458851
2020-02-02,9920.440568064474,10000.0,-0.7955943193552594
2020-02-03,9871.314276079891,10000.0,-1.2868572392010902
2020-02-04,9772.27841308534,10000.0,-2.277215869146603
2020-02-05,10367.399397410341,10367.399397410341,0.0
2020-02-06,10611.215892884928,10611.215892884928,0.0
2020-02-07,11162.397039824433,11162.397039824433,0.0
2020-02-08,11289.016068731586,11289.016068731586,0.0
2020-02-09,11576.131255237668,11576.131255237668,0.0
2020-02-10,11289.005760308608,11576.131255237668,-2.48032342237955
2020-02-11,12140.453639670584,12140.453639670584,0.0
2020-02-12,12751.584532364444,12751.584532364444,0.0
2020-02-13,12736.8102433836,12751.584532364444,-0.11586237728610801
2020-02-14,13065.674822158333,13065.674822158333,0.0
2020-02-15,12517.62989114074,13065.674822158333,-4.1945398035481
2020-02-16,12455.711815826327,13065.674822158333,-4.668438596815201
2020-02-17,12447.659643549141,13065.674822158333,-4.730067042240236
2020-02-18,12942.080973297347,13065.674822158333,-0.9459430955022783
2020-02-19,12304.741722238457,13065.674822158333,-5.823909673837851
2020-02-20,12260.850044643521,13065.674822158333,-6.1598408690678115
2020-02-21,12432.55224712111,13065.674822158333,-4.845693648853852
2020-02-22,12364.158104230139,13065.674822158333,-5.3691579461206125
2020-02-23,12692.08133602967,13065.674822158333,-2.8593508656367126
2020-02-24,12407.951318487558,13065.674822158333,-5.0339803540443935
2020-02-25,11699.283561344251,13065.674822158333,-10.457869795571463
2020-02-26,11313.911860845776,13065.674822158333,-13.407366899578033
2020-02-27,11313.911860845776,13065.674822158333,-13.407366899578033
2020-02-28,11634.797967613104,13065.674822158333,-10.951419456104766
2020-02-29,11554.515829244563,13065.674822158333,-11.565870217058869
2020-03-01,11210.023088320022,13065.674822158333,-14.202494391573827
2020-03-02,11210.023088320022,13065.674822158333,-14.202494391573827
2020-03-03,11724.721119243808,13065.674822158333,-10.26317982933706
2020-03-04,11810.227266498921,13065.674822158333,-9.608746373591616
2020-03-05,11916.87758966994,13065.674822158333,-8.792482961080008
2020-03-06,11857.178815261112,13065.674822158333,-9.249396019313977
2020-03-07,11696.29730126233,13065.674822158333,-10.480725561711127
2020-03-08,10519.042444623148,13065.674822158333,-19.49101299548877
2020-03-09,10483.079768695898,13065.674822158333,-19.766258449066573
2020-03-10,10512.425152462805,13065.674822158333,-19.541659381920496
2020-03-11,10139.043493563913,13065.674822158333,-22.399388997735414
2020-03-12,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-13,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-14,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-15,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-16,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-17,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-18,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-19,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-20,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-21,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-22,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-23,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-24,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-25,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-26,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-27,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-28,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-29,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-30,7691.758596016942,13065.674822158333,-41.13003192937009
2020-03-31,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-01,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-02,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-03,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-04,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-05,7691.758596016942,13065.674822158333,-41.13003192937009
2020-04-06,7977.566060248806,13065.674822158333,-38.942563864213916
2020-04-07,7920.858665560207,13065.674822158333,-39.37658197242849
2020-04-08,8134.4901756635045,13065.674822158333,-37.74152283456447
2020-04-09,8086.290038313754,13065.674822158333,-38.11042943912811
2020-04-10,7629.626588491242,13065.674822158333,-41.60556808323433
2020-04-11,7622.692138421857,13065.674822158333,-41.658641882818145
2020-04-12,7735.819735469633,13065.674822158333,-40.792803733716795
2020-04-13,7583.5542543355505,13065.674822158333,-41.95818924350962
2020-04-14,7535.643812355912,13065.674822158333,-42.324878623367646
2020-04-15,7293.398949445723,13065.674822158333,-44.178934125341115
2020-04-16,8047.625142205955,13065.674822158333,-38.40635671907408
2020-04-17,8031.368194474134,13065.674822158333,-38.53078158004071
2020-04-18,8525.375637103676,13065.674822158333,-34.74982537721416
2020-04-19,8326.689028948094,13065.674822158333,-36.270501583073994
2020-04-20,7974.614734516396,13065.674822158333,-38.96515225534244
2020-04-21,7990.707500368137,13065.674822158333,-38.84198398373929
2020-04-22,8297.049741329482,13065.674822158333,-36.497350085137946
2020-04-23,8472.520179415513,13065.674822158333,-35.15436213790657
2020-04-24,8639.38516517109,13065.674822158333,-33.87723724365627
2020-04-25,8774.470816304482,13065.674822158333,-32.84334000549528
2020-04-26,8803.854619255713,13065.674822158333,-32.618446891659325
2020-04-27,8801.755905801327,13065.674822158333,-32.63450969348895
2020-04-28,8830.0968071052,13065.674822158333,-32.41759857569648
2020-04-29,9537.545058089472,13065.674822158333,-27.003042797953587
2020-04-30,9297.53871259002,13065.674822158333,-28.839965488639418
2020-05-01,9501.509683043594,13065.674822158333,-27.27884466457256
2020-05-02,9564.741212534247,13065.674822158333,-26.79489316301355
2020-05-03,9444.265836345858,13065.674822158333,-27.716968584514724
2020-05-04,9392.19805896416,13065.674822158333,-28.115476721984933
2020-05-05,9392.751285758022,13065.674822158333,-28.111242522057324
2020-05-06,9544.592183802113,13065.674822158333,-26.94910661931328
2020-05-07,9914.311195018834,13065.674822158333,-24.119409598308998
2020-05-08,10035.59244845853,13065.674822158333,-23.19116628068094
2020-05-09,9939.472260010574,13065.674822158333,-23.92683580985783
2020-05-10,8991.266135214932,13065.674822158333,-31.1840662070782
2020-05-11,8755.612406735847,13065.674822158333,-32.98767552451992
2020-05-12,9230.92165137974,13065.674822158333,-29.349828638587883
2020-05-13,9862.483748227105,13065.674822158333,-24.516078331437377
2020-05-14,10191.965899940004,13065.674822158333,-21.994339835740824
2020-05-15,9951.027943663974,13065.674822158333,-23.838392741966675
2020-05-16,10025.953711562153,13065.674822158333,-23.264937724005325
2020-05-17,10157.358877741357,13065.674822158333,-22.25920960075255
2020-05-18,10245.203238945936,13065.674822158333,-21.586880292084903
2020-05-19,10270.383473903517,13065.674822158333,-21.394159783574487
2020-05-20,10286.16257765965,13065.674822158333,-21.27339216941825
2020-05-21,9740.177811601548,13065.674822158333,-25.452164207523438
2020-05-22,9864.8942571011,13065.674822158333,-24.497629159031014
2020-05-23,9832.570768353371,13065.674822158333,-24.74502157609095
2020-05-24,9632.297724708404,13065.674822158333,-26.277839791536817
2020-05-25,9713.501880192336,13065.674822158333,-25.656332241492656
2020-05-26,10230.742347808777,13065.674822158333,-21.6975587785312
2020-05-27,10196.261307571207,13065.674822158333,-21.961464322691022
2020-05-28,10627.008748748844,13065.674822158333,-18.66467753562723
2020-05-29,10727.343981863285,13065.674822158333,-17.896747562777445
2020-05-30,11035.052086611142,13065.674822158333,-15.541659831480104
2020-05-31,10301.610509320855,13065.674822158333,-21.15515922797839
2020-06-01,10953.056941252953,13065.674822158333,-16.16922133499412
2020-06-02,10611.873155993493,13065.674822158333,-18.78051994684109
2020-06-03,10936.677944878411,13065.674822158333,-16.294580312601344
2020-06-04,10991.393480709345,13065.674822158333,-15.875807179367223
2020-06-05,10746.166655771656,13065.674822158333,-17.752685551709718
2020-06-06,10733.66092329808,13065.674822158333,-17.848399953329196
2020-06-07,10777.1247577193,13065.674822158333,-17.515743316662338
2020-06-08,10790.39598323401,13065.674822158333,-17.414170105210587
2020-06-09,10775.881639609845,13065.674822158333,-17.525257697866348
2020-06-10,10836.133355820122,13065.674822158333,-17.064112620934722
2020-06-11,10437.040059874633,13065.674822158333,-20.118629906705984
2020-06-12,10571.600187068196,13065.674822158333,-19.088754840740314
2020-06-13,10611.10269287796,13065.674822158333,-18.78641679584446
2020-06-14,10381.685621945904,13065.674822158333,-20.542292967988146
2020-06-15,10335.785880857073,13065.674822158333,-20.893593162686006
2020-06-16,10335.785880857073,13065.674822158333,-20.893593162686006
2020-06-17,10282.037544563089,13065.674822158333,-21.304963696742394
2020-06-18,10282.037544563089,13065.674822158333,-21.304963696742394
2020-06-19,10832.97531642902,13065.674822158333,-17.088283124441723
2020-06-20,10478.807067293028,13065.674822158333,-19.798960176769327
2020-06-21,10735.75950754693,13065.674822158333,-17.832338140392515
2020-06-22,11202.573634708491,13065.674822158333,-14.259509843993454
2020-06-23,11064.583883639467,13065.674822158333,-15.315634023932517
2020-06-24,11192.96669357434,13065.674822158333,-14.333037933930745
2020-06-25,11055.809816245708,13065.674822158333,-15.382787596275207
2020-06-26,11201.047115898642,13065.674822158333,-14.271193272753372
2020-06-27,10774.87151520337,13065.674822158333,-17.53298882863628
2020-06-28,11613.652311928276,13065.674822158333,-11.113260738492773
2020-06-29,12122.617089908754,13065.674822158333,-7.217826442842655
2020-06-30,12133.450075577024,13065.674822158333,-7.134914646737807
2020-07-01,12060.773088843045,13065.674822158333,-7.6911582983150275
2020-07-02,11850.108869792228,13065.674822158333,-9.303506852203327
2020-07-03,11701.175706166981,13065.674822158333,-10.44338799613527
2020-07-04,11820.225372127341,13065.674822158333,-9.532224450579545
2020-07-05,11234.105477220557,13065.674822158333,-14.018176403958726
2020-07-06,11800.348065982032,13065.674822158333,-9.684358239426013
2020-07-07,12360.497505218214,13065.674822158333,-5.397174861142224
2020-07-08,13214.824701577489,13214.824701577489,0.0
2020-07-09,13316.062483964792,13316.062483964792,0.0
2020-07-10,13721.897714232591,13721.897714232591,0.0
2020-07-11,13687.481701516053,13721.897714232591,-0.2508108822356322
2020-07-12,14627.748410056956,14627.748410056956,0.0
2020-07-13,14497.898201434034,14627.748410056956,-0.8876978533049316
2020-07-14,15206.775787764382,15206.775787764382,0.0
2020-07-15,15593.813897604263,15593.813897604263,0.0
2020-07-16,13071.838295776915,15593.813897604263,-16.172923560507595
2020-07-17,13546.562903121483,15593.813897604263,-13.128609895731197
2020-07-18,13355.707721468045,15593.813897604263,-14.352525885152872
2020-07-19,13225.140490014706,15593.813897604263,-15.189827345274814
