date,equity,positions,returns,cummax,drawdown
2023-04-03,300000.0,0,,300000.0,0.0
2023-04-04,300000.0,0,0.0,300000.0,0.0
2023-04-05,300000.0,0,0.0,300000.0,0.0
2023-04-06,300000.0,0,0.0,300000.0,0.0
2023-04-10,300000.0,0,0.0,300000.0,0.0
2023-04-11,300000.0,0,0.0,300000.0,0.0
2023-04-12,300000.0,0,0.0,300000.0,0.0
2023-04-13,300000.0,0,0.0,300000.0,0.0
2023-04-14,300000.0,0,0.0,300000.0,0.0
2023-04-17,300000.0,0,0.0,300000.0,0.0
2023-04-18,300000.0,0,0.0,300000.0,0.0
2023-04-19,300000.0,0,0.0,300000.0,0.0
2023-04-20,300000.0,0,0.0,300000.0,0.0
2023-04-21,300000.0,0,0.0,300000.0,0.0
2023-04-24,300000.0,0,0.0,300000.0,0.0
2023-04-25,300000.0,0,0.0,300000.0,0.0
2023-04-26,300000.0,0,0.0,300000.0,0.0
2023-04-27,300000.0,0,0.0,300000.0,0.0
2023-04-28,300000.0,0,0.0,300000.0,0.0
2023-05-01,300000.0,0,0.0,300000.0,0.0
2023-05-02,300000.0,0,0.0,300000.0,0.0
2023-05-03,300000.0,0,0.0,300000.0,0.0
2023-05-04,300000.0,0,0.0,300000.0,0.0
2023-05-05,300000.0,0,0.0,300000.0,0.0
2023-05-08,300000.0,0,0.0,300000.0,0.0
2023-05-09,300000.0,0,0.0,300000.0,0.0
2023-05-10,300000.0,0,0.0,300000.0,0.0
2023-05-11,300000.0,0,0.0,300000.0,0.0
2023-05-12,300000.0,0,0.0,300000.0,0.0
2023-05-15,300000.0,0,0.0,300000.0,0.0
2023-05-16,300000.0,0,0.0,300000.0,0.0
2023-05-17,300000.0,0,0.0,300000.0,0.0
2023-05-18,300000.0,0,0.0,300000.0,0.0
2023-05-19,300000.0,0,0.0,300000.0,0.0
2023-05-22,300000.0,0,0.0,300000.0,0.0
2023-05-23,300000.0,0,0.0,300000.0,0.0
2023-05-24,300000.0,0,0.0,300000.0,0.0
2023-05-25,300000.0,0,0.0,300000.0,0.0
2023-05-26,300000.0,0,0.0,300000.0,0.0
2023-05-30,300000.0,0,0.0,300000.0,0.0
2023-05-31,300000.0,0,0.0,300000.0,0.0
2023-06-01,300000.0,0,0.0,300000.0,0.0
2023-06-02,300000.0,0,0.0,300000.0,0.0
2023-06-05,300000.0,0,0.0,300000.0,0.0
2023-06-06,300000.0,0,0.0,300000.0,0.0
2023-06-07,300000.0,0,0.0,300000.0,0.0
2023-06-08,300000.0,0,0.0,300000.0,0.0
2023-06-09,300000.0,0,0.0,300000.0,0.0
2023-06-12,300000.0,0,0.0,300000.0,0.0
2023-06-13,300000.0,0,0.0,300000.0,0.0
2023-06-14,300000.0,0,0.0,300000.0,0.0
2023-06-15,300000.0,0,0.0,300000.0,0.0
2023-06-16,300000.0,0,0.0,300000.0,0.0
2023-06-20,300000.0,0,0.0,300000.0,0.0
2023-06-21,300000.0,0,0.0,300000.0,0.0
2023-06-22,300000.0,0,0.0,300000.0,0.0
2023-06-23,300000.0,0,0.0,300000.0,0.0
2023-06-26,300000.0,0,0.0,300000.0,0.0
2023-06-27,300000.0,0,0.0,300000.0,0.0
2023-06-28,300000.0,0,0.0,300000.0,0.0
2023-06-29,300000.0,0,0.0,300000.0,0.0
2023-06-30,300000.0,0,0.0,300000.0,0.0
2023-07-03,300000.0,0,0.0,300000.0,0.0
2023-07-05,300000.0,0,0.0,300000.0,0.0
2023-07-06,300000.0,0,0.0,300000.0,0.0
2023-07-07,300000.0,0,0.0,300000.0,0.0
2023-07-10,300000.0,0,0.0,300000.0,0.0
2023-07-11,300000.0,0,0.0,300000.0,0.0
2023-07-12,300000.0,0,0.0,300000.0,0.0
2023-07-13,300000.0,0,0.0,300000.0,0.0
2023-07-14,300000.0,0,0.0,300000.0,0.0
2023-07-17,300000.0,0,0.0,300000.0,0.0
2023-07-18,300000.0,0,0.0,300000.0,0.0
2023-07-19,300000.0,0,0.0,300000.0,0.0
2023-07-20,300000.0,0,0.0,300000.0,0.0
2023-07-21,300000.0,0,0.0,300000.0,0.0
2023-07-24,300000.0,0,0.0,300000.0,0.0
2023-07-25,300000.0,0,0.0,300000.0,0.0
2023-07-26,300000.0,0,0.0,300000.0,0.0
2023-07-27,300000.0,0,0.0,300000.0,0.0
2023-07-28,300000.0,0,0.0,300000.0,0.0
2023-07-31,300000.0,0,0.0,300000.0,0.0
2023-08-01,300000.0,0,0.0,300000.0,0.0
2023-08-02,300000.0,0,0.0,300000.0,0.0
2023-08-03,300000.0,0,0.0,300000.0,0.0
2023-08-04,300000.0,0,0.0,300000.0,0.0
2023-08-07,300000.0,0,0.0,300000.0,0.0
2023-08-08,300000.0,0,0.0,300000.0,0.0
2023-08-09,300000.0,0,0.0,300000.0,0.0
2023-08-10,300000.0,0,0.0,300000.0,0.0
2023-08-11,300000.0,0,0.0,300000.0,0.0
2023-08-14,300000.0,0,0.0,300000.0,0.0
2023-08-15,300000.0,0,0.0,300000.0,0.0
2023-08-16,300000.0,0,0.0,300000.0,0.0
2023-08-17,300000.0,0,0.0,300000.0,0.0
2023-08-18,300000.0,0,0.0,300000.0,0.0
2023-08-21,300000.0,0,0.0,300000.0,0.0
2023-08-22,300000.0,0,0.0,300000.0,0.0
2023-08-23,300000.0,0,0.0,300000.0,0.0
2023-08-24,300000.0,0,0.0,300000.0,0.0
2023-08-25,300000.0,0,0.0,300000.0,0.0
