symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days
TSLA,2025-02-07,361.6199951171875,2025-02-11,328.5,9,-298.0799560546875,-9.1587842388125,Stop Loss,4
AMD,2025-01-28,114.16999816894531,2025-02-25,103.95999908447266,29,-296.08997344970703,-8.942803931173064,Stop Loss,28
COIN,2025-02-21,235.3800048828125,2025-02-25,212.49000549316406,13,-297.5699920654297,-9.724700023285568,Stop Loss,4
TSLA,2025-02-11,328.5,2025-02-26,290.79998779296875,9,-339.30010986328125,-11.476411630755328,Stop Loss,15
NET,2025-03-21,119.22000122070312,2025-04-03,107.38999938964844,24,-283.9200439453125,-9.922833173902326,Stop Loss,13
META,2025-04-03,530.8529663085938,2025-04-21,483.9607238769531,5,-234.46121215820312,-8.833376736635088,Stop Loss,18
NVDA,2025-04-03,101.78720092773438,2025-05-08,117.35523986816406,27,420.33705139160156,15.294692062003445,Take Profit,35
COIN,2025-08-01,314.69000244140625,2025-09-18,343.1300048828125,9,255.96002197265625,9.03746614788045,RSI Exit,48
META,2025-10-03,710.5599975585938,2025-10-17,716.9199829101562,4,25.43994140625,0.8950666197667632,End of Backtest,14
