date,equity,positions,cummax,drawdown
2023-01-03,300000.0,0,300000.0,0.0
2023-01-04,300000.0,0,300000.0,0.0
2023-01-05,300000.0,0,300000.0,0.0
2023-01-06,300000.0,0,300000.0,0.0
2023-01-09,300000.0,0,300000.0,0.0
2023-01-10,300000.0,0,300000.0,0.0
2023-01-11,300000.0,0,300000.0,0.0
2023-01-12,300000.0,0,300000.0,0.0
2023-01-13,300000.0,0,300000.0,0.0
2023-01-17,300000.0,0,300000.0,0.0
2023-01-18,300000.0,0,300000.0,0.0
2023-01-19,300000.0,0,300000.0,0.0
2023-01-20,300000.0,0,300000.0,0.0
2023-01-23,300000.0,0,300000.0,0.0
2023-01-24,300000.0,0,300000.0,0.0
2023-01-25,300000.0,0,300000.0,0.0
2023-01-26,300000.0,0,300000.0,0.0
2023-01-27,300000.0,0,300000.0,0.0
2023-01-30,300000.0,0,300000.0,0.0
2023-01-31,300000.0,0,300000.0,0.0
2023-02-01,300000.0,0,300000.0,0.0
2023-02-02,300000.0,0,300000.0,0.0
2023-02-03,300000.0,0,300000.0,0.0
2023-02-06,300000.0,0,300000.0,0.0
2023-02-07,300000.0,0,300000.0,0.0
2023-02-08,300000.0,0,300000.0,0.0
2023-02-09,300000.0,0,300000.0,0.0
2023-02-10,300000.0,0,300000.0,0.0
2023-02-13,300000.0,0,300000.0,0.0
2023-02-14,300000.0,0,300000.0,0.0
2023-02-15,300000.0,0,300000.0,0.0
2023-02-16,300000.0,0,300000.0,0.0
2023-02-17,300000.0,0,300000.0,0.0
2023-02-21,300000.0,0,300000.0,0.0
2023-02-22,300000.0,0,300000.0,0.0
2023-02-23,300000.0,0,300000.0,0.0
2023-02-24,300000.0,0,300000.0,0.0
2023-02-27,300000.0,0,300000.0,0.0
2023-02-28,300000.0,0,300000.0,0.0
2023-03-01,300000.0,0,300000.0,0.0
2023-03-02,300000.0,0,300000.0,0.0
2023-03-03,300000.0,0,300000.0,0.0
2023-03-06,300000.0,0,300000.0,0.0
2023-03-07,300000.0,0,300000.0,0.0
2023-03-08,300000.0,0,300000.0,0.0
2023-03-09,300000.0,0,300000.0,0.0
