symbol,entry_date,entry_price,shares,strategy,confidence,exit_date,exit_price,exit_reason,pnl,pnl_pct,days_held
AMD,2023-11-30,121.16000366210938,326,ML_ENSEMBLE,0.9610075771342682,2023-12-15,139.14999389648438,TIME_EXIT,5864.73681640625,0.14848126189023092,15
SPY,2023-12-06,443.30303955078125,384,ML_ENSEMBLE,0.9939187958536786,2023-12-21,462.6593322753906,TIME_EXIT,7432.81640625,0.04366379428443344,15
QQQ,2023-12-11,390.7170715332031,305,ML_ENSEMBLE,1.0655721755833847,2023-12-26,406.7012939453125,TIME_EXIT,4875.187835693359,0.04090996676798914,15
COIN,2023-12-12,139.6199951171875,306,ML_ENSEMBLE,1.0090762699959466,2023-12-27,185.24000549316406,TIME_EXIT,13959.723175048828,0.32674410522422837,15
AMD,2023-12-20,135.47000122070312,186,ML_ENSEMBLE,1.0056044436460316,2024-01-04,136.00999450683594,TIME_EXIT,100.43875122070312,0.003986072792994766,15
NVDA,2023-12-29,49.4971809387207,3147,ML_ENSEMBLE,0.8943032534761406,2024-01-16,56.35374450683594,TIME_EXIT,21577.605548858643,0.13852432478132254,18
AMD,2024-01-04,136.00999450683594,321,ML_ENSEMBLE,0.9285387660624687,2024-01-19,174.22999572753906,TIME_EXIT,12268.620391845703,0.2810087696811293,15
AMZN,2024-01-04,144.57000732421875,1065,ML_ENSEMBLE,0.9206645623998996,2024-01-19,155.33999633789062,TIME_EXIT,11470.038299560547,0.07449670379775694,15
QQQ,2024-01-16,405.5683288574219,512,ML_ENSEMBLE,1.0597765845503586,2024-01-31,412.9465026855469,TIME_EXIT,3777.625,0.018192184406782927,15
AAPL,2024-01-16,182.08837890625,522,ML_ENSEMBLE,1.058649901753429,2024-01-31,182.85191345214844,TIME_EXIT,398.5650329589844,0.004193208542383426,15
GOOGL,2024-01-19,145.3773193359375,1007,ML_ENSEMBLE,0.86686633277247,2024-02-09,147.97938537597656,TIME_EXIT,2620.280502319336,0.01789870697798613,21
MSFT,2024-01-22,391.41619873046875,239,ML_ENSEMBLE,1.0068982825116108,2024-02-06,400.28076171875,TIME_EXIT,2118.6305541992188,0.022647409629526945,15
SPY,2024-01-31,472.6230773925781,424,ML_ENSEMBLE,1.0855025823536957,2024-02-15,491.34674072265625,TIME_EXIT,7938.833251953125,0.039616481347832196,15
NVDA,2024-02-01,62.99541473388672,979,ML_ENSEMBLE,1.0093324673918955,2024-02-16,72.57660675048828,TIME_EXIT,9379.98698425293,0.15209348263005582,15
COIN,2024-02-07,122.06999969482422,355,ML_ENSEMBLE,0.9945383706057918,2024-02-16,180.30999755859375,TAKE_PROFIT,20675.199241638184,0.47710328507716804,15
AMZN,2024-02-15,169.8000030517578,1177,ML_ENSEMBLE,0.8544026934522451,2024-03-01,178.22000122070312,TIME_EXIT,9910.337844848633,0.04958773861964395,15
NVDA,2024-02-16,72.57660675048828,1983,ML_ENSEMBLE,0.9670759383776821,2024-03-04,85.19427490234375,TIME_EXIT,25020.835945129395,0.17385310111333607,17
COIN,2024-02-16,180.30999755859375,307,ML_ENSEMBLE,0.878134561404459,2024-03-04,229.14999389648438,TIME_EXIT,14993.878875732422,0.2708668237989384,17
AMD,2024-02-20,165.69000244140625,180,ML_ENSEMBLE,0.9718505710297775,2024-03-06,210.6300048828125,TIME_EXIT,8089.200439453125,0.2712294150475289,15
GOOGL,2024-03-04,132.43658447265625,2656,ML_ENSEMBLE,1.0129225587185955,2024-03-19,146.0228729248047,TIME_EXIT,36085.18212890625,0.10258712504741131,15
COIN,2024-03-04,229.14999389648438,258,ML_ENSEMBLE,0.9071072906958979,2024-03-19,230.1199951171875,TIME_EXIT,250.26031494140625,0.004233040569668577,15
PLTR,2024-03-04,24.040000915527344,2949,ML_ENSEMBLE,0.8825057067374792,2024-03-20,24.56999969482422,TIME_EXIT,1562.9664001464844,0.02204653740069331,16
MSFT,2024-03-06,397.65850830078125,326,ML_ENSEMBLE,1.026898006677896,2024-03-21,424.6377868652344,TIME_EXIT,8795.244812011719,0.06784534468968666,15
NET,2024-03-19,95.16999816894531,1605,ML_ENSEMBLE,0.8205100499929604,2024-04-05,96.16000366210938,TIME_EXIT,1588.9588165283203,0.010402495662620583,17
GOOGL,2024-03-22,149.7372589111328,1883,ML_ENSEMBLE,0.8772644343970708,2024-04-08,153.789306640625,TIME_EXIT,7630.005874633789,0.027061051864833634,17
META,2024-03-27,491.3548889160156,288,ML_ENSEMBLE,0.8785847857413678,2024-04-11,520.5062866210938,TIME_EXIT,8395.6025390625,0.059328600086567575,15
AMZN,2024-04-04,180.0,502,ML_ENSEMBLE,1.0010972585223255,2024-04-29,180.9600067138672,TIME_EXIT,481.9233703613281,0.005333370632595486,25
COIN,2024-04-16,218.8300018310547,413,ML_ENSEMBLE,0.6811358285834043,2024-05-02,228.85000610351562,TIME_EXIT,4138.261764526367,0.04578898774673855,16
TSLA,2024-04-18,149.92999267578125,624,ML_ENSEMBLE,0.7218360640969491,2024-04-29,194.0500030517578,TAKE_PROFIT,27530.886474609375,0.294270743222036,13
PLTR,2024-04-19,20.469999313354492,6338,ML_ENSEMBLE,0.8895639865409762,2024-05-07,21.399999618530273,TIME_EXIT,5894.341934204102,0.045432356442193685,18
AMZN,2024-04-29,180.9600067138672,1254,ML_ENSEMBLE,0.8664519955180038,2024-05-14,187.07000732421875,TIME_EXIT,7661.940765380859,0.03376436993624042,15
SPY,2024-04-30,492.8439636230469,392,ML_ENSEMBLE,0.9945875641680265,2024-05-15,520.1380004882812,TIME_EXIT,10699.262451171875,0.05538068613966082,15
MSFT,2024-05-02,393.4552917480469,363,ML_ENSEMBLE,0.9445590904458969,2024-05-17,416.3283386230469,TIME_EXIT,8302.916015625,0.05813378890744972,15
NVDA,2024-05-09,88.7066879272461,1240,ML_ENSEMBLE,0.811004564477494,2024-07-30,103.69139862060547,TIME_EXIT,18581.041259765625,0.16892424960843172,82
COIN,2024-05-14,203.0500030517578,492,ML_ENSEMBLE,0.9514371540491915,2024-05-29,236.64999389648438,TIME_EXIT,16531.19549560547,0.1654764360489168,15
PLTR,2024-05-28,21.049999237060547,9865,ML_ENSEMBLE,0.6921980648166323,2024-06-12,23.770000457763672,TIME_EXIT,26832.812042236328,0.1292162146929821,15
META,2024-05-29,471.9538269042969,889,ML_ENSEMBLE,0.8040995363573934,2024-06-13,501.54302978515625,TIME_EXIT,26304.801361083984,0.06269512226427924,15
AMZN,2024-05-30,179.32000732421875,1879,ML_ENSEMBLE,0.9161969662719534,2024-06-14,183.66000366210938,TIME_EXIT,8154.853118896484,0.024202521529255314,15
NET,2024-06-13,73.51000213623047,8746,ML_ENSEMBLE,0.7391036081699629,2024-06-28,82.83000183105469,TIME_EXIT,81512.71733093262,0.1267854635285165,15
GOOGL,2024-06-17,176.2279510498047,7650,ML_ENSEMBLE,0.9783016882976951,2024-07-02,184.18228149414062,TIME_EXIT,60850.62789916992,0.045136599483517365,15
TSLA,2024-06-21,183.00999450683594,1881,ML_ENSEMBLE,0.8909562869413437,2024-07-24,215.99000549316406,TIME_EXIT,62035.4006652832,0.18020879720367527,33
QQQ,2024-06-28,475.8694763183594,3162,ML_ENSEMBLE,1.031911399563162,2024-07-15,492.7941589355469,TIME_EXIT,53515.846435546875,0.03556580839798346,17
PLTR,2024-07-03,25.850000381469727,37987,ML_ENSEMBLE,0.9315193455141026,2024-07-18,28.639999389648438,TIME_EXIT,105983.69232368469,0.10793032754377402,15
COIN,2024-07-15,242.85000610351562,4906,ML_ENSEMBLE,0.7226059894619695,2024-11-06,254.30999755859375,TIME_EXIT,56222.71807861328,0.04718958685219578,114
AMZN,2024-07-24,180.8300018310547,25925,ML_ENSEMBLE,0.8432240175679291,2024-08-09,166.94000244140625,STOP_LOSS,-360098.23417663574,-0.07681247165293702,25
