date,equity,cash,positions,circuit_breaker
2019-02-13,20000.0,20000.0,0,False
2019-02-14,20151.075367689133,6002.0077912807465,1,False
2019-02-15,20408.36741757393,6002.0077912807465,1,False
2019-02-19,20344.273770093918,6002.0077912807465,1,False
2019-02-20,20519.15643143654,6002.0077912807465,1,False
2019-02-21,20264.61323952675,6002.0077912807465,1,False
2019-02-22,20577.755884885788,6002.0077912807465,1,False
2019-02-25,20531.976217508316,6002.0077912807465,1,False
2019-02-26,20386.38976097107,6002.0077912807465,1,False
2019-02-27,20231.650716781616,6002.0077912807465,1,False
2019-02-28,20141.355133771896,6071.364296197891,1,False
2019-03-01,20341.10415649414,6071.364296197891,1,False
2019-03-04,20371.199471473694,6071.364296197891,1,False
2019-03-05,20347.488064289093,6071.364296197891,1,False
2019-03-06,19939.781887054443,6071.364296197891,1,False
2019-03-07,19685.30526828766,6071.364296197891,1,False
2019-03-08,19685.30526828766,19685.30526828766,0,False
2019-03-11,19685.30526828766,19685.30526828766,0,False
2019-03-12,19685.30526828766,19685.30526828766,0,False
2019-03-13,19685.30526828766,19685.30526828766,0,False
2019-03-14,19435.28994655609,5908.389060020447,1,False
2019-03-15,19782.53231525421,5908.389060020447,1,False
2019-03-18,19712.267258644104,5908.389060020447,1,False
2019-03-19,20264.587775230408,5908.389060020447,1,False
2019-03-20,20157.556082725525,5908.389060020447,1,False
2019-03-21,20937.009705543518,5908.389060020447,1,False
2019-03-22,20410.83804988861,5908.389060020447,1,False
2019-03-25,20106.898747444153,5908.389060020447,1,False
2019-03-26,20359.36130619049,5908.389060020447,1,False
2019-03-27,20329.131100654602,5908.389060020447,1,False
2019-03-28,20389.593419075012,6101.132878303528,1,False
2019-03-29,20575.806332588196,6101.132878303528,1,False
2019-04-01,20795.071484565735,6101.132878303528,1,False
2019-04-02,20853.10998249054,6101.132878303528,1,False
2019-04-03,21306.146039009094,6101.132878303528,1,False
2019-04-04,21277.12988758087,6101.132878303528,1,False
2019-04-05,21493.969670295715,6101.132878303528,1,False
2019-04-08,21561.691060066223,6101.132878303528,1,False
2019-04-09,21357.74011707306,6101.132878303528,1,False
2019-04-10,21586.674221992493,6101.132878303528,1,False
2019-04-11,21542.63481235504,6477.782436847687,1,False
2019-04-12,21422.295584201813,6477.782436847687,1,False
2019-04-15,21004.65558576584,6477.782436847687,1,False
2019-04-16,21280.723932743073,6477.782436847687,1,False
2019-04-17,21208.368077278137,6477.782436847687,1,False
2019-04-18,21130.495206832886,6477.782436847687,1,False
2019-04-22,21301.175118923187,6477.782436847687,1,False
2019-04-23,21474.204786777496,6477.782436847687,1,False
2019-04-24,21513.532596111298,6477.782436847687,1,False
2019-04-25,21178.055665016174,6458.803894519806,1,False
2019-04-26,20483.473214626312,6458.803894519806,1,False
2019-04-29,20483.473214626312,20483.473214626312,0,False
2019-04-30,20483.473214626312,20483.473214626312,0,False
2019-05-01,20058.713372707367,6171.133649349213,1,False
2019-05-02,20058.713372707367,20058.713372707367,0,False
2019-05-03,20023.992578029633,6026.872918605804,1,False
2019-05-06,19627.1929564476,6026.872918605804,1,False
2019-05-07,19250.23284292221,6026.872918605804,1,False
2019-05-08,19250.23284292221,19250.23284292221,0,False
2019-05-09,19250.23284292221,19250.23284292221,0,False
2019-05-10,19250.23284292221,19250.23284292221,0,False
2019-05-13,19250.23284292221,19250.23284292221,0,False
2019-05-14,19250.23284292221,19250.23284292221,0,False
2019-05-15,19250.23284292221,19250.23284292221,0,False
2019-05-16,19250.23284292221,19250.23284292221,0,False
2019-05-17,19250.23284292221,19250.23284292221,0,False
2019-05-20,19250.23284292221,19250.23284292221,0,False
2019-05-21,19250.23284292221,19250.23284292221,0,False
2019-05-22,19250.23284292221,19250.23284292221,0,False
2019-05-23,19250.23284292221,19250.23284292221,0,False
2019-05-24,19250.23284292221,19250.23284292221,0,False
2019-05-28,19250.23284292221,19250.23284292221,0,False
2019-05-29,19250.23284292221,19250.23284292221,0,False
2019-05-30,19250.23284292221,19250.23284292221,0,False
2019-05-31,19250.23284292221,19250.23284292221,0,False
2019-06-03,19250.23284292221,19250.23284292221,0,False
2019-06-04,19250.23284292221,19250.23284292221,0,False
2019-06-05,19218.38298177719,5795.882981777191,1,False
2019-06-06,20273.98284292221,5795.882981777191,1,False
2019-06-07,20542.4329123497,5795.882981777191,1,False
2019-06-10,20915.53277349472,5795.882981777191,1,False
2019-06-11,20542.4329123497,5795.882981777191,1,False
2019-06-12,20437.78312063217,5795.882981777191,1,False
2019-06-13,20078.33270406723,5795.882981777191,1,False
2019-06-14,19609.683259487152,5795.882981777191,1,False
2019-06-17,19081.883328914642,5795.882981777191,1,False
2019-06-18,19650.633328914642,5795.882981777191,1,False
2019-06-19,19754.060836315155,5896.54505109787,1,False
2019-06-20,19337.288402080536,5896.54505109787,1,False
2019-06-21,19474.37697172165,5896.54505109787,1,False
2019-06-24,19583.312955379486,5896.54505109787,1,False
2019-06-25,19345.857532024384,5896.54505109787,1,False
2019-06-26,19315.869079113007,5896.54505109787,1,False
2019-06-27,19534.35300207138,5896.54505109787,1,False
2019-06-28,19572.29687833786,5896.54505109787,1,False
2019-07-01,19799.34905576706,5896.54505109787,1,False
2019-07-02,19639.005296230316,5896.54505109787,1,False
2019-07-03,19683.067042827606,5893.394014835358,1,False
2019-07-05,19469.54773426056,5893.394014835358,1,False
2019-07-08,19213.66423845291,5893.394014835358,1,False
2019-07-09,19222.140653133392,5893.394014835358,1,False
2019-07-10,19455.14449596405,5893.394014835358,1,False
2019-07-11,19982.152936458588,5893.394014835358,1,False
2019-07-12,20094.84876394272,5893.394014835358,1,False
2019-07-15,20066.0422873497,5893.394014835358,1,False
2019-07-16,20049.941489696503,5893.394014835358,1,False
2019-07-17,20270.82306623459,6017.9384207725525,1,False
2019-07-18,20310.293834209442,6017.9384207725525,1,False
2019-07-19,20164.1552901268,6017.9384207725525,1,False
2019-07-22,20406.03583097458,6017.9384207725525,1,False
2019-07-23,20770.522344112396,6017.9384207725525,1,False
2019-07-24,21022.472846508026,6017.9384207725525,1,False
2019-07-25,20579.038350582123,6017.9384207725525,1,False
2019-07-26,20720.971944332123,6017.9384207725525,1,False
2019-07-29,20699.97620344162,6017.9384207725525,1,False
2019-07-30,20752.8870177269,6017.9384207725525,1,False
2019-07-31,20195.704825878143,6227.192128658295,1,False
2019-08-01,19881.09276533127,6227.192128658295,1,False
2019-08-02,19572.28308057785,6227.192128658295,1,False
2019-08-05,19572.28308057785,19572.28308057785,0,False
2019-08-06,19572.28308057785,19572.28308057785,0,False
2019-08-07,19572.28308057785,19572.28308057785,0,False
2019-08-08,19572.28308057785,19572.28308057785,0,False
2019-08-09,19572.28308057785,19572.28308057785,0,False
2019-08-12,19572.28308057785,19572.28308057785,0,False
2019-08-13,19572.28308057785,19572.28308057785,0,False
2019-08-14,19572.28308057785,19572.28308057785,0,False
2019-08-15,19572.28308057785,19572.28308057785,0,False
2019-08-16,19572.28308057785,19572.28308057785,0,False
2019-08-19,19572.28308057785,19572.28308057785,0,False
2019-08-20,19572.28308057785,19572.28308057785,0,False
2019-08-21,19572.28308057785,19572.28308057785,0,False
2019-08-22,19572.28308057785,19572.28308057785,0,False
2019-08-23,19572.28308057785,19572.28308057785,0,False
2019-08-26,19572.28308057785,19572.28308057785,0,False
2019-08-27,19572.28308057785,19572.28308057785,0,False
2019-08-28,19572.28308057785,19572.28308057785,0,False
2019-08-29,19572.28308057785,19572.28308057785,0,False
2019-08-30,19572.28308057785,19572.28308057785,0,False
2019-09-03,19299.146438121796,5873.539443492889,1,False
2019-09-04,19674.506286144257,5873.539443492889,1,False
2019-09-05,20572.43680524826,5873.539443492889,1,False
2019-09-06,20483.29252576828,5873.539443492889,1,False
2019-09-09,20634.589141368866,5873.539443492889,1,False
2019-09-10,20853.757575511932,5873.539443492889,1,False
2019-09-11,20947.802924633026,5873.539443492889,1,False
2019-09-12,20942.889312267303,5873.539443492889,1,False
2019-09-13,20752.346511363983,5873.539443492889,1,False
2019-09-16,20614.233146190643,6226.503844738007,1,False
2019-09-17,20682.893391132355,6226.503844738007,1,False
2019-09-18,20595.868440151215,6226.503844738007,1,False
2019-09-19,20353.15370130539,6226.503844738007,1,False
2019-09-20,20013.838282108307,6226.503844738007,1,False
2019-09-23,20185.497313022614,6226.503844738007,1,False
2019-09-24,20001.066561222076,6226.503844738007,1,False
2019-09-25,20456.144834041595,6226.503844738007,1,False
2019-09-26,20385.089126110077,6226.503844738007,1,False
2019-09-27,19939.59117460251,6226.503844738007,1,False
2019-09-30,19939.59117460251,19939.59117460251,0,False
2019-10-01,20160.897042751312,5985.188683986664,1,False
2019-10-02,20070.520963191986,5985.188683986664,1,False
2019-10-03,19485.39278268814,5985.188683986664,1,False
2019-10-04,19535.029219150543,5848.614233493805,1,False
2019-10-07,19712.53539133072,5848.614233493805,1,False
2019-10-08,19178.525892734528,5848.614233493805,1,False
2019-10-09,19440.263899326324,5848.614233493805,1,False
2019-10-10,19614.757826328278,5848.614233493805,1,False
2019-10-11,19837.38855600357,5848.614233493805,1,False
2019-10-14,19878.00267648697,5848.614233493805,1,False
2019-10-15,20618.090696811676,5848.614233493805,1,False
2019-10-16,20455.634214878082,5848.614233493805,1,False
2019-10-17,20461.648611545563,5848.614233493805,1,False
2019-10-18,20181.515085697174,6138.555391788483,1,False
2019-10-21,20588.448301792145,6138.555391788483,1,False
2019-10-22,20558.96450471878,6138.555391788483,1,False
2019-10-23,20520.623272418976,6138.555391788483,1,False
2019-10-24,20651.110380649567,6138.555391788483,1,False
2019-10-25,21217.280975818634,6138.555391788483,1,False
2019-10-28,21383.152597904205,6138.555391788483,1,False
2019-10-29,21097.854708194733,6138.555391788483,1,False
2019-10-30,21103.754011631012,6138.555391788483,1,False
2019-10-31,20957.7865319252,6138.555391788483,1,False
2019-11-01,21072.358132839203,6288.547609806061,1,False
2019-11-04,21649.581142902374,6288.547609806061,1,False
2019-11-05,21584.630700588226,6288.547609806061,1,False
2019-11-06,21440.147619724274,6288.547609806061,1,False
2019-11-07,21491.954079151154,6288.547609806061,1,False
2019-11-08,21451.08951330185,6288.547609806061,1,False
2019-11-11,21480.28468465805,6288.547609806061,1,False
2019-11-12,21584.630700588226,6288.547609806061,1,False
