date,equity,positions,cash,cummax,drawdown
2024-01-02,30000.0,0,30000.0,30000.0,0.0
2024-01-03,30000.0,0,30000.0,30000.0,0.0
2024-01-04,30000.0,0,30000.0,30000.0,0.0
2024-01-05,30000.0,0,30000.0,30000.0,0.0
2024-01-08,30000.0,0,30000.0,30000.0,0.0
2024-01-09,30000.0,0,30000.0,30000.0,0.0
2024-01-10,30000.0,0,30000.0,30000.0,0.0
2024-01-11,30000.0,0,30000.0,30000.0,0.0
2024-01-12,30000.0,0,30000.0,30000.0,0.0
2024-01-16,30000.0,0,30000.0,30000.0,0.0
2024-01-17,30000.0,0,30000.0,30000.0,0.0
2024-01-18,30000.0,0,30000.0,30000.0,0.0
2024-01-19,30000.0,0,30000.0,30000.0,0.0
2024-01-22,30000.0,0,30000.0,30000.0,0.0
2024-01-23,30000.0,0,30000.0,30000.0,0.0
2024-01-24,30000.0,0,30000.0,30000.0,0.0
2024-01-25,30000.0,0,30000.0,30000.0,0.0
2024-01-26,30000.0,0,30000.0,30000.0,0.0
2024-01-29,30000.0,1,20071.640380859375,30000.0,0.0
2024-01-30,30034.320190429688,1,20071.640380859375,30034.320190429688,0.0
2024-01-31,29810.72003173828,1,20071.640380859375,30034.320190429688,-0.7444821699765175
2024-02-01,29892.360412597656,1,20071.640380859375,30034.320190429688,-0.47265853507570366
2024-02-02,29842.960571289062,1,20071.640380859375,30034.320190429688,-0.637136508924883
2024-02-05,29486.76025390625,1,20071.640380859375,30034.320190429688,-1.8231141342693522
2024-02-06,29696.840698242188,1,20071.640380859375,30034.320190429688,-1.1236461822599748
2024-02-07,29825.80047607422,1,20071.640380859375,30034.320190429688,-0.6942714635569235
2024-02-08,29928.76025390625,1,20071.640380859375,30034.320190429688,-0.3514643775991765
2024-02-09,30137.28076171875,1,20071.640380859375,30137.28076171875,0.0
2024-02-12,29854.400634765625,1,20071.640380859375,30137.28076171875,-0.9386385227974766
2024-02-13,29640.680603027344,1,20071.640380859375,30137.28076171875,-1.6477935173308742
2024-02-14,29884.56072998047,1,20071.640380859375,30137.28076171875,-0.8385628210335869
2024-02-15,30495.04022216797,1,20071.640380859375,30495.04022216797,0.0
2024-02-16,30469.04022216797,1,20071.640380859375,30495.04022216797,-0.0852597662130632
2024-02-20,30147.160095214844,1,20071.640380859375,30495.04022216797,-1.1407760882382378
2024-02-21,30199.680603027344,1,20071.640380859375,30495.04022216797,-0.9685496952580414
2024-02-22,30336.960571289062,1,20071.640380859375,30495.04022216797,-0.5183782337299307
2024-02-23,30054.080444335938,1,20071.640380859375,30495.04022216797,-1.4460049064355105
2024-02-26,30440.440063476562,1,20071.640380859375,30495.04022216797,-0.179046029431748
2024-02-27,30457.600158691406,1,20071.640380859375,30495.04022216797,-0.12277427150053713
2024-02-28,30577.72003173828,1,20071.640380859375,30577.72003173828,0.0
2024-02-29,30569.400634765625,2,10201.27035522461,30577.72003173828,-0.027207381596865608
2024-03-01,30549.396881103516,2,10201.27035522461,30577.72003173828,-0.09262675766985728
2024-03-04,29546.38542175293,2,10201.27035522461,30577.72003173828,-3.3728303121189978
2024-03-05,28889.638870239258,2,10201.27035522461,30577.72003173828,-5.520624689306044
2024-03-06,28616.630157470703,2,10201.27035522461,30577.72003173828,-6.413460101773631
2024-03-07,28719.797454833984,2,10201.27035522461,30577.72003173828,-6.076066413636654
2024-03-08,28642.14924621582,1,19318.950164794922,30577.72003173828,-6.330003621962091
2024-03-11,28752.45640563965,1,19318.950164794922,30577.72003173828,-5.969260050141385
2024-03-12,28778.668182373047,1,19318.950164794922,30577.72003173828,-5.88353823469474
2024-03-13,28663.991973876953,1,19318.950164794922,30577.72003173828,-6.258570148052129
2024-03-14,28766.10821533203,1,19318.950164794922,30577.72003173828,-5.924613785873765
2024-03-15,28745.357330322266,1,19318.950164794922,30577.72003173828,-5.992476546695132
2024-03-18,28805.427139282227,1,19318.950164794922,30577.72003173828,-5.7960269458170695
2024-03-19,28934.301498413086,1,19318.950164794922,30577.72003173828,-5.374562039352187
2024-03-20,29075.734146118164,1,19318.950164794922,30577.72003173828,-4.912027070890583
2024-03-21,28677.097442626953,1,19318.950164794922,30577.72003173828,-6.215710612624383
2024-03-22,28726.79180908203,1,19318.950164794922,30577.72003173828,-6.053192392157005
2024-03-25,28648.70198059082,1,19318.950164794922,30577.72003173828,-6.308573854248217
2024-03-26,28586.449325561523,1,19318.950164794922,30577.72003173828,-6.512162136712317
2024-03-27,28783.036392211914,1,19318.950164794922,30577.72003173828,-5.8692526377492085
2024-03-28,28683.10467529297,1,19318.950164794922,30577.72003173828,-6.196064829159232
2024-04-01,28603.92384338379,1,19318.950164794922,30577.72003173828,-6.4550142597478875
2024-04-02,28538.940322875977,1,19318.950164794922,30577.72003173828,-6.6675334418202015
2024-04-03,28583.172119140625,1,19318.950164794922,30577.72003173828,-6.522879765160406
2024-04-04,28537.84848022461,1,19318.950164794922,30577.72003173828,-6.671104154908797
2024-04-05,28579.35025024414,1,19318.950164794922,30577.72003173828,-6.535378633266063
2024-04-08,28517.643096923828,1,19318.950164794922,30577.72003173828,-6.737182931481442
2024-04-09,28584.26564025879,1,19318.950164794922,30577.72003173828,-6.519303562889507
2024-04-10,28481.05503845215,1,19318.950164794922,30577.72003173828,-6.856838871929921
2024-04-11,28877.508895874023,1,19318.950164794922,30577.72003173828,-5.56029401178216
2024-04-12,28959.9669342041,2,9605.522239685059,30577.72003173828,-5.290626952745416
2024-04-15,28917.921340942383,2,9605.522239685059,30577.72003173828,-5.428130969454567
2024-04-16,28723.5597114563,2,9605.522239685059,30577.72003173828,-6.0637624988306795
2024-04-17,28490.348289489746,2,9605.522239685059,30577.72003173828,-6.826446641809586
2024-04-18,28263.741004943848,2,9605.522239685059,30577.72003173828,-7.567532910866567
2024-04-19,27923.726432800293,1,18615.818183898926,30577.72003173828,-8.679501271459298
2024-04-22,27980.880325317383,1,18615.818183898926,30577.72003173828,-8.49258775253844
2024-04-23,27945.499294281006,2,9224.068244934082,30577.72003173828,-8.60829628476273
2024-04-24,28103.834423065186,2,9224.068244934082,30577.72003173828,-8.090484202567474
2024-04-25,27486.818840026855,2,9224.068244934082,30577.72003173828,-10.108344207819323
2024-04-26,26515.982175827026,1,17681.732984542847,30577.72003173828,-13.283324759646423
2024-04-29,26371.88541984558,1,17681.732984542847,30577.72003173828,-13.754572307965523
2024-04-30,26125.257612228394,1,17681.732984542847,30577.72003173828,-14.561132795016876
2024-05-01,26097.546964645386,1,17681.732984542847,30577.72003173828,-14.651756450260777
2024-05-02,26136.34197807312,1,17681.732984542847,30577.72003173828,-14.524882983607714
2024-05-03,26244.4144115448,1,17681.732984542847,30577.72003173828,-14.17144775900789
2024-05-06,26298.670392990112,1,17681.732984542847,30577.72003173828,-13.994011438088616
2024-05-07,26217.98229789734,1,17681.732984542847,30577.72003173828,-14.257890154386047
2024-05-08,26028.782773971558,1,17681.732984542847,30577.72003173828,-14.876639765964022
2024-05-09,26053.823667526245,1,17681.732984542847,30577.72003173828,-14.794747154190821
2024-05-10,25987.047773361206,1,17681.732984542847,30577.72003173828,-15.013128034438692
2024-05-13,26170.682416915894,1,17681.732984542847,30577.72003173828,-14.41257755728054
2024-05-14,26320.92938041687,1,17681.732984542847,30577.72003173828,-13.921216646967322
2024-05-15,26382.14146232605,1,17681.732984542847,30577.72003173828,-13.721031408023265
2024-05-16,26593.59943962097,1,17681.732984542847,30577.72003173828,-13.029488751882004
2024-05-17,26537.952772140503,1,17681.732984542847,30577.72003173828,-13.21147310984823
2024-05-20,26613.075986862183,1,17681.732984542847,30577.72003173828,-12.965793527970623
2024-05-21,26512.9113445282,1,17681.732984542847,30577.72003173828,-13.293367468179435
2024-05-22,26423.8764629364,1,17681.732984542847,30577.72003173828,-13.584543139548597
2024-05-23,26051.0412273407,1,17681.732984542847,30577.72003173828,-14.803846721400735
2024-05-24,26229.11152458191,1,17681.732984542847,30577.72003173828,-14.221493632104403
2024-05-28,26323.711820602417,1,17681.732984542847,30577.72003173828,-13.91211707975741
2024-05-29,26064.952894210815,1,17681.732984542847,30577.72003173828,-14.758350631909178
2024-05-30,26081.647535324097,1,17681.732984542847,30577.72003173828,-14.703753228649703
2024-05-31,26265.2827129364,2,8859.732862472534,30577.72003173828,-14.103201004933547
2024-06-03,26204.47056388855,2,8859.732862472534,30577.72003173828,-14.30207832143959
2024-06-04,26182.129789352417,2,8859.732862472534,30577.72003173828,-14.375140585444049
