symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days
TSLA,2024-01-29,190.92999267578125,2024-03-08,175.33999633789062,52,-810.6798095703125,-8.165294577035908,Stop Loss,39
AAPL,2024-02-29,179.46127319335938,2024-04-19,163.8235626220703,55,-860.0740814208984,-8.713696438807894,Stop Loss,50
INTC,2024-04-12,35.321556091308594,2024-04-26,31.55088996887207,275,-1036.933183670044,-10.675254829343018,Stop Loss,14
IBM,2024-04-23,173.92129516601562,2024-04-26,159.5447998046875,54,-776.3307495117188,-8.266092629775509,Stop Loss,3
AMZN,2024-05-31,176.44000244140625,2024-06-21,189.0800018310547,50,631.9999694824219,7.1639079657381215,RSI Exit,21
INTC,2024-04-26,31.55088996887207,2024-07-08,33.77574157714844,280,622.9584503173828,7.0516286877213075,RSI Exit,73
AMD,2024-07-31,144.47999572753906,2024-08-01,132.5399932861328,64,-764.16015625,-8.264121535498072,Stop Loss,1
INTC,2024-08-01,28.866878509521484,2024-08-02,21.3445987701416,311,-2339.4289989471436,-26.05851455985698,Stop Loss,1
MSFT,2024-07-30,419.0133972167969,2024-08-23,413.6842346191406,22,-117.2415771484375,-1.2718358489380113,RSI Exit,24
GOOGL,2024-08-05,158.34068298339844,2024-09-26,162.0155029296875,51,187.4158172607422,2.3208311831485258,RSI Exit,52
ADBE,2024-12-20,447.1700134277344,2025-01-10,405.9200134277344,18,-742.5,-9.224679375032887,Stop Loss,21
AAPL,2025-01-21,221.85243225097656,2025-02-24,246.49664306640625,36,887.1915893554688,11.108379820488178,RSI Exit,34
CRM,2025-02-26,305.8294677734375,2025-03-10,271.56756591796875,27,-925.0713500976562,-11.202943295461122,Stop Loss,12
AAPL,2025-03-21,217.73703002929688,2025-04-02,223.3433074951172,36,201.82598876953125,2.5747928430299516,RSI Exit,12
INTC,2025-08-07,19.770000457763672,2025-08-14,23.860000610351562,407,1664.6300621032715,20.68791126902452,Take Profit,7
CRM,2025-08-12,231.25730895996094,2025-08-29,255.8045654296875,34,834.6067199707031,10.614694333391464,RSI Exit,17
IBM,2025-08-01,248.37074279785156,2025-09-08,256.0899963378906,32,247.01611328125,3.1079560551629655,RSI Exit,38
MSFT,2025-09-05,495.0,2025-10-17,513.5800170898438,17,315.86029052734375,3.7535388060290407,End of Backtest,42
